,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
CLINICA,,,,,,20-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,10,13,0,2016-06-20,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $130.00 
,1500,6.9,0,2016-06-20,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,," $10,350.00 "
,450,1.07,0,2016-06-20,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB. C/15,,,, $481.50 
,350,21,0,2016-06-20,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,," $7,350.00 "
,40,31.5,0,2016-06-20,CEFTRIAXONA 1G/10ML SOL. INY.,,,," $1,260.00 "
,400,1.97,0,2016-06-20,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,, $788.00 
,12,17.08,16,2016-06-20,"TELA ADHESIVA 1""X5MTS",,,, $204.96 
,1000,0.47,0,2016-06-20,DICLOFENACO 100MG TAB.C/10,,,, $470.00 
,1500,5.75,0,2016-06-20,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,," $8,625.00 "
,300,2.85,0,2016-06-20,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,, $855.00 
,500,2.1,0,2016-06-20,FLEXIVER TABS 15 MG MELOXICAM C/10,,,," $1,050.00 "
,5,31.9,0,2016-06-20,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,, $159.50 
,10,31.9,0,2016-06-20,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,, $319.00 
,1000,1.3,16,2016-06-20,JERINGA 3ML (22X32),,,," $1,300.00 "
,1000,1.48,16,2016-06-20,JERINGA 5CC (22X32),,,," $1,480.00 "
,1500,5,0,2016-06-20,KETOROLACO 30MG AMP.,,,," $7,500.00 "
,300,1.9,0,2016-06-20,NAPROXENO GI TABS. DE 500MG C/10,,,, $570.00 
,560,0.68,0,2016-06-20,OMEPRAZOL CAPSULA 20 MG C/14,,,, $380.80 
,200,1.3,0,2016-06-20,PARACETAMOL C/ NAPROXENO,,,, $260.00 
,24,15.08,16,2016-06-20,SUTURA NYLON 2,,,, $361.92 
,96,15.08,16,2016-06-20,SUTURA NYLON 3,,,," $1,447.68 "
,96,16.34,16,2016-06-20,SUTURA NYLON 4,,,," $1,568.64 "
,96,20.75,16,2016-06-20,SUTURA NYLON 5,,,," $1,992.00 "
,1000,0.69,0,2016-06-20,KETOROLACO TAB. 10 MG,,,, $690.00 
,1000,0.85,0,2016-06-20,IBUPROFENO TABS 400 MG IBUPROFENO,,,, $850.00 
,600,1.13,0,2016-06-20,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,, $678.00 
,300,7.68,0,2016-06-20,GABAPENTINA 300MG TAB,,,," $2,304.00 "
,200,38.2,0,2016-06-20,CLOROPIRAMINA 20MG AMP.,,,," $7,640.00 "
,250,21,0,2016-06-20,CLOROTRIMETON SOL.INY DE 10 MG CLORHIDRATO DE CLORFENAMINA,,,," $5,250.00 "
,500,5.4,16,2016-06-20,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,,," $2,700.00 "
,15,7,16,2016-06-20,PUNTAS NASALES,,,, $105.00 
,10,64,16,2016-06-20,CANULA YANKAUER CON TUBO,,,, $640.00 
,30,18,0,2016-06-20,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,pieza,, $540.00 
,10,146,0,2016-06-20,FURACIN POMADA 85 GR.,,,," $1,460.00 "
,400,2.7,0,2016-06-20,RANITIDINA 50MG AMP.,,,," $1,080.00 "
,300,1.49,0,2016-06-20,DICLOXACILINA 500MG CAP.,,,, $447.00 
,600,7,0,2016-06-20,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,," $4,200.00 "
,20,23,16,2016-06-20,PILA PARA GLUCOMETRO,,,, $460.00 
,100,1.68,16,2016-06-20,JERINGA 1CC (29X13),,,, $168.00 
,,,,,,,,,
