,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,05-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0318,120,1.07,0,2016-07-11,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,, $128.40 
MED0320,50,2.2,0,2016-07-11,SAL DE UVAS PICOT C/50,,,, $110.00 
MED0223,60,0.75,0,2016-07-11,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $45.00 
MED1050,60,0.85,0,2016-07-11,BENZONATATO PERLAS,,,, $51.00 
MED4448,40,2.1,0,2016-07-11,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,, $84.00 
MED1028,40,2.9,0,2016-07-11,BUTILHIOSCINA + METAMIZOL 10MG/250MG tab c/10,,,, $116.00 
MED4481,12,19.33,0,2016-07-11,COMPLEJO B C/DEXAMETASONA LIDOCAINA INY,,,, $231.96 
MED0347,18,15,0,2016-07-11,TRIB12 COMPUESTO COMPLEJO B + DICLOFENACO,,,, $270.00 
MED1012,15,6.9,0,2016-07-11,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,, $103.50 
MED4443,120,0.47,0,2016-07-11,DICLOFENACO 100MG TAB.C/10,,,, $56.40 
MED1008,2,18,0,2016-07-11,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,, $36.00 
MED1020,60,0.33,0,2016-07-11,DIFENIDOL 25MG TAB.,,,, $19.80 
MED4491,180,18.6,0,2016-07-11,DOLO-NEUROBION TAB,,,," $3,348.00 "
MED1063,2,40,0,2016-07-11,NORFENEFRINA SO. GOTAS FCO.,,,, $80.00 
MED4455,30,0.17,0,2016-07-11,GLIBENCLAMIDA TAB C/50,,,, $5.10 
MED1059,72,1.75,0,2016-07-11,GRANEODIN B 10 MG 4 BENZOCAINA ,,,, $126.00 
MED1030,100,0.85,0,2016-07-11,IBUPROFENO TABS 400 MG IBUPROFENO,,,, $85.00 
MED0216,40,2.67,0,2016-07-11,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,, $106.80 
MED1032,15,5,0,2016-07-11,KETOROLACO 30MG AMP.,,,, $75.00 
MED1045,60,0.69,0,2016-07-11,KETOROLACO TAB. 10 MG,,,, $41.40 
MED0235,30,0.8,0,2016-07-11,METAMIZOL SODICO C/10 TABS,,,, $24.00 
MED1033,2,13,0,2016-07-11,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $26.00 
MED0251,80,1.9,0,2016-07-11,NAPROXENO GI TABS. DE 500MG C/10,,,, $152.00 
MED1089,40,0.85,0,2016-07-11,NIMESULIDE GI TABS. DE 100 MG. NIMESULIDE,,,, $34.00 
MED0266,140,0.68,0,2016-07-11,OMEPRAZOL CAPSULA 20 MG C/14,,,, $95.20 
MED1088,100,0.45,0,2016-07-11,PARACETAMOL 500MG TAB. C/10,,,, $45.00 
MED4547,30,0.65,0,2016-07-11,METFORMINA 500 MG C/30,,,, $19.50 
MED1036,200,0.88,0,2016-07-11,PARACETAMOL / CAFEINA TABS,,,, $176.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
