,,,,FORMATO DE REQUISICIàN,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0002,100,0.55,0,2016-07-13,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,, $55.00 
MED4557,105,1.628,0,2016-07-13,ACICLOVIR TAB ,,,, $170.94 
MED4572,5,14.2,0,2016-07-13,AMBROXOL/DEXTROMETORFANO JBE INF,,,, $71.00 
MED0025,60,1,0,2016-07-13,AMPICILINA GI CAPS. 500 MG,,,, $60.00 
MED4558,3,19.5,0,2016-07-13,AMOXICILINA 500 MG SUSP,,,, $58.50 
MED4573,2,25.5,0,2016-07-13,BUTILHIOSCINA GTS ÿ,,,, $51.00 
MED0075,6,31.5,0,2016-07-13,CEFTRIAXONA 1 G / 10 ML SOL INY i.v trixona,,,, $189.00 
MED1020,150,0.33,0,2016-07-13,DIFENIDOL 25MG TAB.,,,, $49.50 
MED0162,100,2.1,0,2016-07-13,FLEXIVER TABS 15 MG MELOXICAM C/10,,,, $210.00 
MED4571,100,1.25,0,2016-07-13,FLEXIVER 7.5 MG TABS,,,, $125.00 
MED4570,20,1.1,0,2016-07-13,KETOCONAZOL TABS 200 MG C/10,,,, $22.00 
MED4548,84,12.4,0,2016-07-13,MALIVAL AP CAPS 50 MG C/28 PATENTE,,,," $1,041.60 "
MED0235,100,0.8,0,2016-07-13,METAMIZOL SODICO C/10 TABS,,,, $80.00 
MED0237,10,2.7,0,2016-07-13,METOCARBAMOL/ MELOXICAM TAB C/10,,,, $27.00 
MED0238,100,0.25,0,2016-07-13,Metoclopramida c/20,,,, $25.00 
MED0210,100,2.13,0,2016-07-13,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,, $213.00 
MED1036,100,0.58,0,2016-07-13,PARACETAMOL / CAFEINA TABS,,,, $58.00 
MED0347,30,15,0,2016-07-13,TRIB12 COMPUESTO COMPLEJO B + DICLOFENACO,,,, $450.00 
MED0350,90,1.23,0,2016-07-13,TRIBEDOCE COMPL B TIAMINA/ PIRIDOXINA/ CIANOCOBALAMIN 100 MG C/30,,,, $110.70 
MED4545,49,6.42,0,2016-07-13,LEVOFLOXACINO 500MG C/7 TABLETAS,,,, $314.58 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
