,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,06-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,120,1.07,0,2016-07-06,AMANTADINA + CLORFENAMINA + PARACETAMOL SOLUCION PED. GOTAS 30 ML.,,,, $128.40 
,58,8,0,2016-07-06,AMBROXOL SOL. ORAL FCO.,,,, $464.00 
,50,21,0,2016-07-06,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,," $1,050.00 "
,25,429,0,2016-07-06,CIPROFLOXACINO 400MG FCO. 200ML ,,,," $10,725.00 "
,35,15,0,2016-07-06,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO.,,,, $525.00 
,416,0.33,0,2016-07-06,DIFENIDOL 25MG TAB.,,,, $137.28 
,12,14,0,2016-07-06,DIGOXINA 0.25 MG/ML SOL. INY.,,,, $168.00 
,15,17,0,2016-07-06,DIMENHIDRINATO 25MG SUP.,,,, $255.00 
,100,39,0,2016-07-06,HIDROCORTISONA 100MG AMP.,,PIEZA,," $3,900.00 "
,600,5,0,2016-07-06,KETOROLACO 30MG AMP.,,,," $3,000.00 "
,20,31.9,0,2016-07-06,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,, $638.00 
,100,7,0,2016-07-06,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,, $700.00 
,3000,0.45,0,2016-07-06,PARACETAMOL 500MG TAB. C/10,,,," $1,350.00 "
,50,74.4,0,2016-07-06,PROPOFOL 200MG/20ML AMP. ,,,," $3,720.00 "
,7,56.71,0,2016-07-06,TRINITRATO DE GLICERILO 5 MG PARCHES,,,, $396.97 
,200,1.23,0,2016-07-06,IBUPROFENO 600 MG,,,, $246.00 
,120,0.75,0,2016-07-06,RANITIDINA 300MG TAB.,,,, $90.00 
,800,2.9,0,2016-07-06,BUTILHIOSINA / METAMISOL GRAGEAS 10 / MG 250 MG,,,," $2,320.00 "
,250,3.48,0,2016-07-06,ELECTROLITOS ORALES C/25,,,, $870.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $30,683.65 "
