,,,,FORMATO DE REQUISICI?N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
SME,,,,,,03-jun-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,36,115.28,16,09/06/2016,MONOSYN QUICK 3-0 C0025043,,,
,24,115.28,16,09/06/2016,SILKAM 4-0 HR26 C0760404,,,
,36,115.28,16,09/06/2016,MONOSYN QUICK 4-0 C0025029,,,
,24,115.28,16,09/06/2016,SAFIL QUICK 6-0 C1046607,,,
,24,115.28,16,09/06/2016,MONOSYN QUICK 5-0,,,
,24,115.28,16,09/06/2016,MONOSYN QUICK 6-0,,,
,24,115.28,16,09/06/2016,SAFIL QUICK 5-0 REF 1046619,,,
,36,115.28,16,09/06/2016,SAFIL QUICK 3-0 C1046235 70 CM,,,
,36,115.28,16,09/06/2016,MONOSYN 3-0 70 CM CORTANTE C0023215,,,
,36,115.28,16,09/06/2016,SAFIL QUICK 4-0 REF 1046220,,,
,36,115.28,16,09/06/2016,SAFIL 3-0 24MM / 70CM C1048235 C,,,
,24,115.28,16,09/06/2016,SAFIL 2-0 C1048042 HR26 AGUJA REDONDA,,,
,24,115.28,16,09/06/2016,SAFIL 3/0 19MM / 70CM C1049421 C,,,
,12,115.28,16,09/06/2016,SAFIL 4-0 19MM / 45CM C1048420 C,,,
,12,115.28,16,09/06/2016,SAFIL 5-0 19MM / 45CM C1048219 C,,,
,4,271.25,16,09/06/2016,TAPETES SELLADORES QUIRURGICOS,,,
,3,105,16,09/06/2016,MEDIAS YARDAS HILO RADIOPACO,,,
,12,21.1666,16,09/06/2016,CROMICO 0-0 3611 / 75 C/ 12,,,
,2,152,16,09/06/2016,DRENOVAC 1/8,,,
,10,25,16,09/06/2016,CANULA DE GUEDEL NO.6 ADULTO,,,
,10,46,16,09/06/2016,CANULA NASAL PEDIATRICA,,,
,10,64,16,09/06/2016,CANULA YANKAUER CON TUBO,,,
