,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0575,200,1.48,16,2016-05-20,JERINGA 5CC (22X32),,,, $296.00 
MAT0895,24,15.08,16,2016-05-20,SUTURA NYLON 3,,,, $361.92 
MAT0896,12,16.34,16,2016-05-20,SUTURA NYLON 4,,,, $196.08 
MAT0897,24,20.75,16,2016-05-20,SUTURA NYLON 5,,,, $498.00 
MAT0335,12,26.5,16,2016-05-20,CROMICO 3-0 G126 (G3713-75),,,, $318.00 
MAT0484,1000,1.2,16,2016-05-20,GASA SECA ESTêRIL 10X10,,,," $1,200.00 "
MAT0738,30,7,16,2016-05-20,PUNTAS NASALES,,,, $210.00 
MAT0759,4,190,16,2016-05-20,RINON DE ACERO INOX. 1lt,,,, $760.00 
MAT0777,100,11,16,2016-05-20,SABANA CON ELASTICO 1.20X2.40X0.14,,,," $1,100.00 "
MAT0914,100,6.72,16,2016-05-20,TIRAS REACTIVAS ACTIVE  ACCU CHECK ,,,, $672.00 
MAT4509,5,55,16,2016-05-20,COLD PACK,,,, $275.00 
MAT4510,5,55,16,2016-05-20,HOT PACK,,,, $275.00 
EQU009,4,145,16,2016-05-20,RINON DE ACERO INOX. 500 ml,,,, $580.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $6,742.00 "
,,,,,,,,," $7,820.72 "
