,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0571,100,3.56,16,2016-05-25,JERINGA 20CC SIN AGUJA,,,, $356.00 
MAT0575,200,1.48,16,2016-05-25,JERINGA 5CC (22X32),,,, $296.00 
MAT4016,100,1.02,16,2016-05-25,GUANTES LATEX MEDIANOS ESTERIL,,,, $102.00 
MAT4025,200,1.02,16,2016-05-25,GUANTES LATEX CHICOS ESTERIL,,,, $204.00 
MAT0059,1,62.8,16,2016-05-25,ANTIBENZIL SOL. JABON,,,, $62.80 
MAT0565,50,6.4,16,2016-05-25,JELCO NO. 20,,,, $320.00 
MAT0596,3,5.5,16,2016-05-25,TORNIQUETES DE LATEX 25 CMS C/ SUJETADOR,,,, $16.50 
MAT0670,6,25,16,2016-05-25,PILAS CR2032 REDONDA 3 VOLTS  ,,PIEZA,, $150.00 
MAT0916,200,5.4,16,2016-05-25,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,,," $1,080.00 "
MAT1103,15,10.5,16,2016-05-25,APOSITO ESTERIL PIEZA,,,, $157.50 
MAT1201,12,35.83,16,2016-05-25,PROLENE 5-0 ,,CAJA C/12,, $429.96 
MAT4051,134,0.911764706,16,2016-05-25,CONOS PARA OTOSCOPIA MEDIANOS,,,, $122.18 
EQU003,1,250,16,2016-05-25,BAUMANOMETRO ANEROIDE ,,,, $250.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $3,546.94 "
,,,,,,,,," $4,114.45 "
