,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
SME,,,,,,03-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
EQU014,1,750,16,2016-06-14,ESCALERA DOS PELDANOS ACERO INOX,,,, $750.00 
EQU018,1,15000,16,2016-06-14,EQUIPO DE DIAGNOSTICO DE PARED,,,," $15,000.00 "
EQU012,1,170,16,2016-06-14,PORTA ABATELENGUAS ACERO INOX,,,, $170.00 
EQU038,1,55,16,2016-06-14,TERMOMETRO DIGITAL,,,, $55.00 
EQU044,1,170,16,2016-06-14,TORUNDERO DE ACERO INOX. 1000 ML ,,,, $170.00 
MAT4539,1,90,16,2016-06-14,CARTA DE SNELL,,,, $90.00 
MAT4540,1,200,16,2016-06-14,PORTA TERMOMETRO ACERO INOX,,,, $200.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $16,435.00 "
,,,,,,,,," $19,064.60 "
