,,,,FORMATO DE REQUISICI…N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
SME,,,,,,13-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,50,4.1,0,13/06/2016,ADRENALINA 0.001G/1ML AMP. // PATENTE,,,,$205.00
,50,1.07,0,13/06/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SUSP 60 ML  ,,,,$53.50
,20,22,0,13/06/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED.,,,,$440.00
,40,8,0,13/06/2016,AMBROXOL SOL. ORAL FCO.,,,,$320.00
,50,21,0,13/06/2016,BRUPACIL COMPUESTO COMP. AMPOLLETAS DE 20 MG/25 GR DE 5 ML C/3 BROMURO DE BUTILHIOSCINA + METAMIZOL,,,,"$1,050.00"
,150,4.83,0,13/06/2016,BUTILHIOSCINA SOL INY 20 MG/1ML C/3 BROMURO DE BUTILHIOSCINA,,,,$724.50
,150,30.4,0,13/06/2016,BUDESONIDA .125MG NEB. // PATENTE,,,,"$4,560.00"
,200,31.5,0,13/06/2016,CEFTRIAXONA 1G/10ML SOL. INY.,,,,"$6,300.00"
,20,429,0,13/06/2016,CIPROFLOXACINO 400MG FCO. 200ML ,,,,"$8,580.00"
,20,3.8,0,13/06/2016,CLONIXINATO DE LISINA SOL. INY. 100MG/ML,,,,$76.00
,60,12.3,0,13/06/2016,CLORANFENICOL SOL. OFT. ,,,,$738.00
,20,21,0,13/06/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,,,,$420.00
,10,38.2,0,13/06/2016,CLOROPIRAMINA 20MG AMP.,,,,$382.00
,50,8.9,0,13/06/2016,DEXTROMETORFANO 15MG/5ML JARABE FCO.,,,,$445.00
,60,33.9,0,13/06/2016,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,,"$2,034.00"
,300,1.49,0,13/06/2016,DICLOXACILINA 500MG CAP.,,,,$447.00
,18,14,0,13/06/2016,DIGOXINA 0.25 MG/ML SOL. INY.,,,,$252.00
,20,17,0,13/06/2016,DIMENHIDRINATO 25MG SUP.,,,,$340.00
,50,35,0,13/06/2016,ERITROMICINA SUSP. 250MG,,,,"$1,750.00"
,15,4.333333333,0,13/06/2016,GLICEROL 1.380GR SUP.,,,,$65.00
,15,35,0,13/06/2016,HIDROCORTISONA 100MG AMP.,,,,$525.00
,300,6.9,0,13/06/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,"$2,070.00"
,900,5,0,13/06/2016,KETOROLACO 30MG AMP.,,,,"$4,500.00"
,20,31.9,0,13/06/2016,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,,$638.00
,500,3.05,0,13/06/2016,LORATADINA + BETAMETASONA 5.0MG/0.25MG TAB.,,,,"$1,525.00"
,50,7,0,13/06/2016,BONADOXINA AMP. 25 MG DE 1 ML C/5 MECLIZINA + PIRIDOXINA + LIDOCAINA,,,,$350.00
,210,1.13,0,13/06/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,$237.30
,100,16,0,13/06/2016,PARACETAMOL 160MG JBE FCO.,,,,"$1,600.00"
,40,9.5,0,13/06/2016,PARACETAMOL GTS 30ML ,,,,$380.00
,100,2.7,0,13/06/2016,RANITIDINA 50MG AMP.,,,,$270.00
,5,70,0,13/06/2016,TETRACAINA SOL. OFTALMICA GTS. // PATENTE,,,,$350.00
,840,1.178571429,0,13/06/2016,TRIMETROPRIMA + SULFAMETOXAZOL 160MG/800MG TABLETAS ,,,,$990.00
,100,0.69,0,13/06/2016,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,,,,$69.00
,2,17.5,0,13/06/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$35.00
,30,109,0,13/06/2016,ALIN DEPOT AMP 8MG EN 2ML ,,,,"$3,270.00"
,6,70.5,0,13/06/2016,LIBERTRIM SOL. INY 0.050GR/ 5ML C/6 AMP TRIMEBUTINA,,,,$423.00
,15,14.6,0,13/06/2016,AMBROXOL GOTAS FCO. C/30ML,,,,$219.00
,5,69.33,0,13/06/2016,CARBOZOCROMO + BISULFITO SODICO DE MENADIONA 50MG/5ML AMP. // PATENTE,,,,$346.65
,60,12,0,13/06/2016,DICLOFENACO POTASICO 25MG GRAGEAS,,,,$720.00
,20,23.66,0,13/06/2016,DICLOFENACO POTASICO 50 MG GRAGEAS,,,,$473.20
,120,13.9,0,13/06/2016,ENTEROGERMINA SUSP.,,,,"$1,668.00"
,24,23.66,0,13/06/2016,METILSULFATO DE NEOSTIGMINA 0.5MGX1ML SOL. INY.,,,,$567.84
,3,238,0,13/06/2016,OLANZAPINA 10MG/2ML FCO. AMPULA INY. // PATENTE,,,,$714.00
,50,74.4,0,13/06/2016,PROPOFOL 200MG/20ML AMP. ,,,,"$3,720.00"
,30,3.5,0,13/06/2016,SENOKOT F 374MG C/30 TAB.,,,,$105.00
,20,581,0,13/06/2016,ISOKET  10MG /10ML  AMPOLLETA ,,,,"$11,620.00"
,,,,,,,,,66567.99
