,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1000,0.22,16,29/02/2016,ABATELENGUAS,,,,$220.00
,600,1.066666667,0,29/02/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,,$640.00
,1600,0.425,0,29/02/2016,DICLOFENACO 100MG TAB.,,,,$680.00
,20,3,0,29/02/2016,FUROSEMIDA 20MG/2ML AMP.,,,,$60.00
,100,5.09,16,29/02/2016,JELCO NO. 20,,,,$509.00
,100,5.09,16,29/02/2016,JELCO NO. 24,,,,$509.00
,1500,1.3,16,29/02/2016,JERINGA 3ML (22X32),,,,"$1,950.00"
,100,1.48,16,29/02/2016,JERINGA 5CC (22X32),,,,$148.00
,560,0.678571429,0,29/02/2016,OMEPRAZOL CAPSULA 20 MG C/14,,,,$380.00
,200,0.225,0,29/02/2016,PARACETAMOL 500MG TAB.,,,,$45.00
,10,90,0,29/02/2016,LIDOCAINA 10% SPRAY,,,,$900.00
,300,2.7,0,29/02/2016,RANITIDINA 50MG AMP.,,,,$810.00
,150,0.73,16,29/02/2016,SABANA PLANA 1.20X2.00,,,,$109.50
,12,15.08333333,16,29/02/2016,SUTURA NYLON 2,,,,$181.00
,96,15.08333333,16,29/02/2016,SUTURA NYLON 3,,,,"$1,448.00"
,24,17.08333333,16,29/02/2016,"TELA ADHESIVA 1""X5MTS",,,,$410.00
,48,0.97,0,29/02/2016,MECLIZINA + PIRIDOXINA 25MG TAB.,,,,$46.56
,1200,0.85,0,29/02/2016,ZOAFALET-H TABS 400 MG IBUPROFENO,,,,"$1,020.00"
,600,2.7,0,29/02/2016,METOCARBAMOL/ MELOXICAM TAB C/10,,,,"$1,620.00"
,60,2.125,0,29/02/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,,$127.50
,140,0.678571429,0,29/02/2016,OMEPRAZOL CAPSULA 20 MG C/14,,,,$95.00
,1,204,16,29/02/2016,ISODINE ESPUMA,,,,$204.00
,10,11,0,29/02/2016,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,,$110.00
,600,2.1,0,29/02/2016,FLEXIVER TABS 15 MG MELOXICAM C/10,,,,"$1,260.00"
,450,1,0,29/02/2016,FORTICAL S GRAGEAS C/30 DICLOFENACO SODICO-50 MG + B1-50 MG + B6 50MG+B12 50MG,,,,$450.00
,160,1.23,0,29/02/2016,IBUPROFENO 600 MG,,,,$196.80
,40,0.33,0,29/02/2016,ISORBID TABS. DE 5 MG 0 DINITRATO DE ISOSORBIDA,,,,$13.00
,100,5.09,16,29/02/2016,JELCO NO. 22,,,,$509.00
,3,435,0,29/02/2016,MAXITROL SUSP. OFTALMICA FCO ML NEOMICINA + POLIMIXINA B + DEXAMETASONA,,,,"$1,305.00"
,20,30,0,29/02/2016,NEOSPORIN DERMICO UNGUENTO DERMICO TUBO DE 30GR NEOMICINA + POLIMIXINA B + BACITRACINA,,,,$600.00
,300,1.3,0,29/02/2016,PARACETAMOL C/ NAPROXENO,,,,$390.00
,60,16.34,16,29/02/2016,SUTURA NYLON 4,,,,$980.40
,24,20.75,16,29/02/2016,SUTURA NYLON 5,,,,$498.00
,90,7.68,0,29/02/2016,GABAPENTINA 300MG TAB,,,,$691.20
,2,30,0,29/02/2016,NEOSPORIN DERMICO UNGUENTO DERMICO TUBO DE 30GR NEOMICINA + POLIMIXINA B + BACITRACINA,,,,$60.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
