,,,,FORMATO DE REQUISICIÖN,,,,,,,
,,,,(RAZON SOCIAL),,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
,,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,,
MAT0506,300,0.82,16,16/03/2016,GUANTES DE TACTO NO ESTERIL CAJA CON 100 PZAS,,100,$82.00,$246.00,$246.00,GUANTES DE TACTO NO ESTERIL CAJA CON 100 PZAS
MAT1170,20,12,16,16/03/2016,CAMPOS ESTERILES  / 10 CAMPOS ,,1,$12.00,$240.00,$240.00,CAMPOS ESTERILES  / 10 CAMPOS 
MAT0042,3,23,16,16/03/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,1,$23.00,$69.00,$69.00,ALCOHOL ETILICO DESNAT. 70 1LT
MAT0075,100,0.65,16,16/03/2016,CURITA REDONDO CAJA C/ 100 PZAS,,100,$65.00,$65.00,$65.00,CURITA REDONDO CAJA C/ 100 PZAS
MAT0349,100,0.18,16,16/03/2016,CURITA DE BANDA CAJA C/ 100 PZAS,,,,$18.00,$18.00,CURITA DE BANDA CAJA C/ 100 PZAS
MAT0502,100,5.9,16,16/03/2016,GUANTES ESTRILES  Nù7  / CAJA ,,50,$295.00,$590.00,$590.00,GUANTES ESTRILES  Nù7  / CAJA 
MAT1135,300,0.82,16,16/03/2016,GUANTE NO ESTERIL MEDIANO,,,,$246.00,$246.00,GUANTE NO ESTERIL MEDIANO
MAT0578,200,3.7,16,16/03/2016,JERINGA DE 20 ML ,,50,$185.00,$740.00,$740.00,JERINGA DE 20 ML 
MAT4514,3,98,16,16/03/2016,MICRODACYN 120ML,,1,$98.00,$294.00,$294.00,MICRODACYN 120ML
MAT0926,3,56,16,16/03/2016,BOLSA DE ALGODON TORUNDAS ,,1,$56.00,$168.00,$168.00,BOLSA DE ALGODON TORUNDAS 
MAT1149,50,2.5,16,16/03/2016,VASO PARA MUESTRA NO ESTERIL,,1,$2.50,$125.00,$125.00,VASO PARA MUESTRA NO ESTERIL
MAT1171,100,1.4,16,16/03/2016,JERINGA DE 3ML / CAJA CON 100 PIEZAS ,,100,$140.00,$140.00,$140.00,JERINGA DE 3ML / CAJA CON 100 PIEZAS 
MAT1172,100,1.55,16,16/03/2016,JERINGA 5 ML / CAJA CON 100 PIEZAS ,,,,$155.00,$155.00,JERINGA 5 ML / CAJA CON 100 PIEZAS 
MAT1190,100,2,16,16/03/2016,JERINGA 10ML.,,,,$200.00,$200.00,JERINGA 10ML.
MAT1194,100,1.53,16,16/03/2016,LANCETAS ACCU-CHEK ACTIVE/ CAJA CON 200,,200,$305.00,$152.50,$152.50,LANCETAS ACCU-CHEK ACTIVE/ CAJA CON 100 
MAT2052,1,120,16,16/03/2016,JABON QUIRURGICO GALON DE 3.8 LITROS ,,1,$120.00,$120.00,$120.00,JABON QUIRURGICO GALON DE 3.8 LITROS 
MAT4020,48,3.4,16,16/03/2016,VENDAS 5 CM/  PAQ CON 12 PIEZAS ,,,,$163.20,$163.20,VENDAS 5 CM/  PAQ CON 12 PIEZAS 
MAT4021,48,5,16,16/03/2016,VENDAS 10 CM/  PAQ CON 1 2 PIEZAS ,,,,$240.00,$240.00,VENDAS 10 CM/  PAQ CON 1 2 PIEZAS 
MAT4500,45,7.3,16,16/03/2016,VENOPACK DE NORMOGOTERO ,,1,$7.30,$328.50,$328.50,VENOPACK DE NORMOGOTERO 
MED4490,200,1.5,16,16/03/2016,JERINGAS DE INSULINA DE 1ML,,100,$150.00,$300.00,$300.00,JERINGAS DE INSULINA DE 1ML
MAT0897,12,15.83,16,16/03/2016,SUTURA NYLON 5,,12,$190.00,$190.00,$190.00,SUTURA NYLON 5
MAT0503,100,5.9,16,16/03/2016,GUANTE ESTERIL NO. 8,,50,$295.00,$590.00,$590.00,GUANTE ESTERIL NO. 8
MAT0894,12,15.5,16,16/03/2016,SUTURA NYLON 2,,,,$186.00,$186.00,SUTURA NYLON 2
MAT0895,12,15.5,16,16/03/2016,SUTURA NYLON 3,,,,$186.00,$186.00,SUTURA NYLON 3
,,,,,,,,,$0.00,,
,,,,,,,,,$0.00,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,"$15,289.87",
,,,,,,,,,,$697.28,
,,,,,,,,,,15987.14667,
