,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,60,9.3,0,2016-03-09,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,$558.00,$558.00
,10,7.9,0,2016-03-09,CLINDAMICINA 300MG AMP.,,,$79.00,$79.00
,30,21.5,0,2016-03-09,DEXTROMETORFANO + GUAIFENESINA JBE. INFANTIL FCO.,,,$645.00,$645.00
,20,17.5,0,2016-03-09,NEOMICINA + CAOLIN + PECTINA 36.65MG/500MG SUSP.,,,$350.00,$350.00
,60,19.16666667,0,2016-03-09,ONDANSETRON 8MG AMP.,,,"$1,150.00","$1,150.00"
,32,138,0,2016-03-09,PARACETAMOL 1GR/100ML AMP. // PATENTE,,,"$4,416.00","$4,416.00"
,20,62.4,0,2016-03-09,PROPOFOL 200MG/20ML AMP. ,,,"$1,248.00","$1,248.00"
,50,31.5,0,2016-03-09,CEFTRIAXONA 1G/10ML SOL. INY.,,,"$1,575.00","$1,575.00"
,60,5.75,0,2016-03-09,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,$345.00,$345.00
,60,4.75,0,2016-03-09,DIFENIDOL 40 MG/2ML SOL. INY.,,,$285.00,$285.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
