,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,10,13,16,2016-03-01,CANULA DE GUEDEL NO.2 ADULTO,,,,$130.00
,2,815,16,2016-03-01,JABON ANTIMICROBIANO MCA BD 946ML CATALOGO,,,,"$1,630.00"
,12,115.2777778,16,2016-03-01,PREMILENE 1-0 75CM C0090053,,,,"$1,383.33"
,24,115.2777778,16,2016-03-01,PREMILENE 2/0 45 C0090436-2,,,,"$2,766.67"
,36,115.2777778,16,2016-03-01,PREMILENE 5-0 45CM C0090675,,,,"$4,150.00"
,10,153,16,2016-03-01,PUNTAS PARA ELECTROCAUTERIO FINAS ,,,,"$1,530.00"
,72,115.2777778,16,2016-03-01,SAFIL 2-0 C1048042 HR26 AGUJA REDONDA,,,,"$8,300.00"
,36,115.2777778,16,2016-03-01,SAFIL 5-0 19MM / 45CM C1048219 C,,,,"$4,150.00"
,5,25,16,2016-03-01,TUBO ENDOTRAQUEAL NO. 3.5 S/G,,,,$125.00
,5,25,16,2016-03-01,TUBO ENDOTRAQUEAL NO. 4.0 S/G,,,,$125.00
,1,36,16,2016-03-01,TUBO ENDOTRAQUEAL NO. 7.5 S/G,,,,$36.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
