,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,sugerido,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,80,12.7,16,2016-05-06,CEPILLO QUIRURGICO PCMX,,,," $1,016.00 "
,1,815,16,2016-05-06,JABON ANTIMICROBIANO MCA BD 946ML CATALOGO,,,, $815.00 
,5,105,16,2016-05-06,MEDIAS YARDAS HILO RADIOPACO,,,, $525.00 
,36,115.28,16,2016-05-06,MONOSYN QUICK 3-0 C0025043,,,," $4,150.08 "
,24,115.28,16,2016-05-06,SAFIL 2-0 C1048042 HR26 AGUJA REDONDA,,,," $2,766.72 "
,24,115.28,16,2016-05-06,SAFIL 3/0 19MM / 70CM C1049421 C,,,," $2,766.72 "
,24,115.28,16,2016-05-06,SAFIL 4-0 19MM / 45CM C1048420 C,,,," $2,766.72 "
,24,115.28,16,2016-05-06,SAFIL 5-0 19MM / 45CM C1048219 C,,,," $2,766.72 "
,36,115.28,16,2016-05-06,SILKAM 4-0 HR26 C0760404,,,," $4,150.08 "
,2,271.25,16,2016-05-06,TAPETES SELLADORES QUIRURGICOS,,,, $542.50 
,36,115.28,16,2016-05-06,MONOSYN QUICK 4-0 C0025029,,,," $4,150.08 "
,36,115.28,16,2016-05-06,SAFIL QUICK 6-0 C1046607,,,," $4,150.08 "
,36,115.28,16,2016-05-06,MONOSYN QUICK 5-0,,,," $4,150.08 "
,36,115.28,16,2016-05-06,MONOSYN QUICK 6-0,,,," $4,150.08 "
,36,115.28,16,2016-05-06,SAFIL QUICK 5-0 REF 1046619,,,," $4,150.08 "
,36,115.28,16,2016-05-06,SAFIL QUICK 3-0 C1046235 70 CM,,,," $4,150.08 "
,36,115.28,16,2016-05-06,MONOSYN 3-0 70 CM CORTANTE C0023215,,,," $4,150.08 "
,36,115.28,16,2016-05-06,SAFIL QUICK 4-0 REF 1046220,,,," $4,150.08 "
,36,115.28,16,2016-05-06,SAFIL 3-0 24MM / 70CM C1048235 C,,,," $4,150.08 "
,,,,,,,,," $59,616.26 "
,,,,,,,,," $9,538.60 "
,,,,,,,,," $69,154.86 "
