,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,10-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR LAS AMERICAS,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MED0061,6,8.33,0,2016-11-11,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,, $49.98 
MED0094,20,0.3,0,2016-11-11,MALEATO DE CLORFENAMINA 4MG TAB.,,,, $6.00 
MED4435,20,8.8,0,2016-11-11,CLOROPIRAMINA 25 MG C/20 TABLETAS,,,, $176.00 
MED1012,5,6.9,0,2016-11-11,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,, $34.50 
MED4443,100,0.47,0,2016-11-11,DICLOFENACO 100MG TAB.C/20,,,, $47.00 
MED1008,3,17.5,0,2016-11-11,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,, $52.50 
MED0119,4,4.6,0,2016-11-11,DIFENIDOL 40 MG/2ML SOL. INY.,,,, $18.40 
MED1020,90,0.33,0,2016-11-11,DIFENIDOL 25MG TAB.C/30,,,, $29.70 
MED1045,50,0.69,0,2016-11-11,KETOROLACO TAB. 10 MG C/10,,,, $34.50 
MED0226,20,0.8,0,2016-11-11,LORATADINA 10MG GRAGEAS C/20,,,, $16.00 
MED1041,6,3.75,0,2016-11-11,METAMIZOL 2.5GR/5ML AMP.,,,, $22.50 
MED4410,48,1.4,0,2016-11-11,NAPROXENO GI TABS. DE 500MG C/12,,,, $67.20 
MED0255,1,30,0,2016-11-11,NEOSPORIN DERMICO UNGöENTO DERMICO TUBO DE 30GR NEOMICINA + POLIMIXINA B + BACITRACINA,,,, $30.00 
MED1036,20,0.58,0,2016-11-11,PARACETAMOL / CAFEINA TABS,,,, $11.60 
MED1088,50,0.45,0,2016-11-11,PARACETAMOL 500MG TAB. C/10,,,, $22.50 
MED0320,50,2.2,0,2016-11-11,SAL DE UVAS PICOT C/50,,,, $110.00 
MED4589,1,24,0,2016-11-11,TORBAMICINA/DEXAMETASONA (OFTALMICA),,,, $24.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,SUBTOTAL, $752.38 
,,,,,,,,IVA, $-   
,,,,,,,,TOTAL, $752.38 
,,,,,,,,,
