,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,24-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,400,21,0,2016-08-23,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,," $8,400.00 "
,800,8.33,0,2016-08-23,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,," $6,664.00 "
,40,31.5,0,2016-08-23,CEFTRIAXONA 1G/10ML SOL. INY.,,,," $1,260.00 "
,1000,0.47,0,2016-08-23,DICLOFENACO 100MG TAB.C/10,,,, $470.00 
,15,65,0,2016-08-23,HIDROCORTISONA 500MG AMP.,,,, $975.00 
,1500,6.9,0,2016-08-23,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,," $10,350.00 "
,300,1.13,0,2016-08-23,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,, $339.00 
,300,0.45,0,2016-08-23,PARACETAMOL 500MG TAB. C/10,,,, $135.00 
,600,2.7,0,2016-08-23,RANITIDINA 50MG AMP.,,,," $1,620.00 "
,3000,0.69,0,2016-08-23,KETOROLACO TAB. 10 MG,,,," $2,070.00 "
,240,3.42,0,2016-08-23,SYNCOL TAB C/24,,,, $820.80 
,1800,0.85,0,2016-08-23,IBUPROFENO TABS 400 MG IBUPROFENO,,,," $1,530.00 "
,300,2.85,0,2016-08-23,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,, $855.00 
,300,2.1,0,2016-08-23,FLEXIVER TABS 15 MG MELOXICAM C/10,,,, $630.00 
,300,1,0,2016-08-23,FORTICAL S GRAGEAS C/30 DICLOFENACO SODICO-50 MG + B1-50 MG + B6 50MG+B12 50MG,,,, $300.00 
,900,1.23,0,2016-08-23,IBUPROFENO 600 MG,,,," $1,107.00 "
,900,1.9,0,2016-08-23,IBUPROFENO 800 MG/TABLETAS c/10,,,," $1,710.00 "
,20,14,0,2016-08-23,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,,, $280.00 
,400,1.97,0,2016-08-23,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,, $788.00 
,150,2.1,0,2016-08-23,DESLORATADINA  C/30 5MG,,,, $315.00 
,200,2,16,2016-08-23,JERINGA 10CC (22X32),,,, $400.00 
,300,1.68,16,2016-08-23,JERINGA 1CC (29X13),,,, $504.00 
,700,1.3,16,2016-08-23,JERINGA 3ML (21X32),,,, $910.00 
,700,1.48,16,2016-08-23,JERINGA 5CC (22X32),,,," $1,036.00 "
,1,125,16,2016-08-23,ROLLO DE PAPEL LIFE PACK 12 10 CM,,,, $125.00 
,8,11.5,16,2016-08-23,"PILA ""C""",,,, $92.00 
,200,21,0,2016-08-23,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY FALTANTE,,,," $4,200.00 "
,30,38.5,0,2016-08-23,HIDROCORTISONA 100MG AMP. FALTANTE,,,," $1,155.00 "
,500,7,0,2016-08-23,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP. FALTANTE,,,," $3,500.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
