,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,24-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,400,0.47,0,18/08/2016,DICLOFENACO 100MG TAB.C/10,,,,$188.00
,10,65,0,18/08/2016,HIDROCORTISONA 500MG AMP.,,,,$650.00
,300,6.9,0,18/08/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,"$2,070.00"
,100,0.33,0,18/08/2016,METOPROLOL 100MG TAB.,,,,$33.00
,120,5.9,0,18/08/2016,PANCLASA 80MG C/20 TAB.,,,,$708.00
,300,0.45,0,18/08/2016,PARACETAMOL 500MG TAB. C/10,,,,$135.00
,1000,0.69,0,18/08/2016,KETOROLACO TAB. 10 MG,,,,$690.00
,120,20.5,0,18/08/2016,HIDRASEC TAB 100 MG C/30,,,,"$2,460.00"
,600,1.28,0,18/08/2016,MELOX PLUS TABS MASTICABLES 0,,,,$768.00
,500,2.2,0,18/08/2016,SAL DE UVAS PICOT C/50,,,,"$1,100.00"
,400,3.77,0,18/08/2016,CETIRIZINA TAB 10 MG C/10,,,,"$1,508.00"
,500,1.23,0,18/08/2016,IBUPROFENO 600 MG,,,,$615.00
,500,1.9,0,18/08/2016,IBUPROFENO 800 MG/TABLETAS c/10,,,,$950.00
,100,8.8,0,18/08/2016,AVAPENA TABLETAS 25 MG CLOROPIRAMINA,,,,$880.00
,10,11.2,0,18/08/2016,ACICLOVIR CREMA 5 G,,,,$112.00
,96,5.63,0,18/08/2016,RIOPAN CAJA C/24 TABLETAS,,,,$540.48
,100,2.1,0,18/08/2016,NEXT TAB CAJA C/20TAB,,,,$210.00
,600,1.14,0,18/08/2016,TRIBEDOCE COMPL B TIAMINA/ PIRIDOXINA/ CIANOCOBALAMIN 100 MG C/30,,,,$684.00
,300,1.33,0,18/08/2016,AMOXICILINA 500,,,,$399.00
,20,14,0,18/08/2016,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,,,$280.00
,200,1.97,0,18/08/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,$394.00
,20,28.5,0,18/08/2016,HIDROCORTISONA CREMA,,,,$570.00
,300,1.71,0,18/08/2016,NAPROXEN 550 MG,,,,$513.00
,150,2.1,0,18/08/2016,DESLORATADINA  C/30 5MG,,,,$315.00
,6,7,0,18/08/2016,PASTA LASSAR ANDROMACO FRASCO 30 GR,,,,$42.00
,96,5.7,0,18/08/2016,ROBAXGOLD C/24,,,,$547.20
,4,45,16,18/08/2016,DOLOR EX,,,,$180.00
,400,0.56,16,18/08/2016,CURITAS REDONDAS,,,,$224.00
,200,2,16,18/08/2016,JERINGA 10CC (22X32),,,,$400.00
,700,0.18,16,18/08/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,,$126.00
,300,1.7,0,18/08/2016,CIPROFLAXACINO TABLETAS,,,,$510.00
,10,38.5,0,18/08/2016,HIDROCORTISONA 100MG AMP. ,,,,$385.00
,150,7,0,18/08/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP. ,,,,"$1,050.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
