FORMATO DE REQUISICI‡N,,,,,,,,,,
MEDICA GLOBAL ARSAIN SA DE CV,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
20,,,,,,31-ago-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU•OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,6,39.84,16,2015-09-03,HOJAS DE MAQUINA T. CARTA BOND,,ARSAIN,,,
,1,41.97,16,2015-09-03,MARCADORES PARA PIZARRON BLANCO,,ARSAIN,,,
,1,19.88,16,2015-09-03,TABLA T. CARTA (PARA APOYAR),,ARSAIN,,,
,12,1.98,16,2015-09-03,PLUMAS COLOR NEGRO (BIC),,ARSAIN,,,
,1,38.48,16,2015-09-03,CARPETA BLANCA 2 PULGADAS,,ARSAIN,,,
,100,4.5302,16,2015-09-03,DVD'S,,SAINAR,,,
,4,39.84,16,2015-09-03,HOJAS DE MAQUINA T. CARTA,,SAINAR,,,
,3,8.48,16,2015-09-03,PLUMONES PERMANENTES (AZUL),,SAINAR,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
