STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION,ID
MED0002,60,0.55,0,03/05/2016,ACIDO ACETILSALICILICO 500 MG,
MED0318,192,1.07,0,03/05/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,
MED0016,140,0.48,0,03/05/2016,AMBROXOL TAB.30 MG. TAB,
MED1050,100,0.85,0,03/05/2016,BENZONATATO PERLAS C/20,
MED4448,20,1.48,0,03/05/2016,BUTILHIOSCINA 10 MG C/10 TAB,
MED1028,80,2.9,0,03/05/2016,BUTILHIOSINA + METAMISOL SODICO TAB C/ 10,
MED0095,90,0.73,0,03/05/2016,CLORFENAMINA COMPUESTA KY6 500MG TAB C/10,
MED4512,20,0.65,0,03/05/2016,CLORTALIDONA TAB 50 MG,
MED4481,12,19.33,0,03/05/2016,COMPLEJO B C/DEXAMETASONA LIDOCAINA INY,
MED4483,90,0.83,0,03/05/2016,COMPLEJO B CON DICLOFENACO TAB,
MED1012,15,6.9,0,03/05/2016,DEXAMETASONA SOL INY 8 MG 2 ML,
MED0367,1,31,0,03/05/2016,DEXNE SOL. OFT. 10 ML DEXAMETASONA/NEOMICINA,
MED4443,60,0.47,0,03/05/2016,DICLOFENACO 100 MG TAB,
MED1008,60,17.5,0,03/05/2016,DICLOFENACO GEL AL 1 % 60 G,
MED1020,60,0.33,0,03/05/2016,DIFENIDOL TABLETAS 250 MG,
MED4491,50,18.6,0,03/05/2016,DOLONEURUBION TAB,
MED1029,40,2.65,0,03/05/2016,FENAZOPIRIDINA TAB 100 MG,
MED0167,2,146,0,03/05/2016,FURACIN POMADA TUBO DE 85 GR NITROFURAL,
MED1059,144,1.75,0,03/05/2016,GRANEODIN B C/24 TABS,
MED0190,4,65,0,03/05/2016,HIDROCORTISONA C/1 500 MG AMP,
MED1030,100,0.85,0,03/05/2016,IBUPROFENO TAB. 400 MG TABS,
MED1045,100,0.69,0,03/05/2016,KETOROLACO C/10 TAB,
MED1032,45,5,0,03/05/2016,KETOROLACO INY 30 MG / 1 ML C/3 AMP,
MED0216,48,2.67,0,03/05/2016,KETOROLACO SUBLINGUAL 30 MG,
MED0223,50,0.75,0,03/05/2016,LOPERAMIDA 2 MG TABS C/10,
MED4484,80,1.65,0,03/05/2016,LORATADINA / AMBROXOL TABS ,
MED0225,70,3.5,0,03/05/2016,LORATADINA / FENILEFRINA TABS,
MED1090,100,0.8,0,03/05/2016,LORATADINA TAB 10MG C/10,
MED1053,100,0.66,0,03/05/2016,MELOX C/50 TAB,
MED0235,60,0.8,0,03/05/2016,METAMIZOL SODICO 500MG TABLETAS,
MED1033,2,11,0,03/05/2016,NAFAZOLINA GOTAS OFTALMICAS,
MED0251,160,1.9,0,03/05/2016,NAPROXENO GI TABS. DE 500MG,
MED1089,60,0.85,0,03/05/2016,NIMESULIDA TAB C/10,
MED0266,84,0.68,0,03/05/2016,OMEPRAZOL CAPSULA 20 MG C/14,
MED1036,300,0.58,0,03/05/2016,PARACETAMOL / CAFEINA TABS,
MED1088,150,0.45,0,03/05/2016,PARACETAMOL TAB 500MG C/10,
MED1038,40,0.42,0,03/05/2016,RANITIDINA TAB. 150 MG,
MED0347,12,15,0,03/05/2016,TRIB12 COMPUESTO COMPLEJO B + DICLOFENACO INY,
MED4508,1,50,0,03/05/2016,VICK VAPORUB,
MED0140,24,6.25,0,03/05/2016,ELECTROLITOS DE SABORES,
MED4515,30,1.8,0,03/05/2016,AGRIFEN,
MED4468,30,0.65,0,03/05/2016,METFORMINA TABS,
MED0044,20,0.89,0,03/05/2016,AVAPENA TABS,
MED4516,5,12.3,0,03/05/2016,CLORANFENICOL GOTAS,
