FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
36,,,,,,02-nov-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
LAS AMERICAS,,,,,,DANIEL ACOSTA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,1000,0.56,16,04/11/2015,BLOCK ORDEN MEDICA C/50,,,,,
,1000,0.9,16,04/11/2015,BLOCK DE REPORTE DE REVISION DE UNIDADES,,,,,
,500,1,16,04/11/2015,BLOCK DE RECIBO DE PAGOS,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
