FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
36,,,,,,02-nov-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
LAS AMERICAS,,,,,,DANIEL ACOSTA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,3,19,16,04/11/2015,CLORO 4LTO,,,,,
,3,28,16,04/11/2015,LIMPIADOR LAVANDA 4 LTO,,,,,
,3,35,16,04/11/2015,SHAMPOO P/ MANOS 4LTO,,,,,
,5,45,16,04/11/2015,SHAMPO PARA AUTOMOVIL 4LTO,,,,,
,5,95,16,04/11/2015,ALLMOROLL 4LTO,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
