FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
35,,,,,,29-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU•OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,2 GAL,30,16,03/11/2015,PINOL ,,ARSAIN,,,
,2 GAL,28,16,03/11/2015,FABULOSO,,ARSAIN,,,
,1 GAL,25,16,03/11/2015,FCO.4 LTS. ACIDO,,ARSAIN,,,
,2 GAL,35,16,03/11/2015,SHAMPOO PARA MANOS,,ARSAIN,,,
,3 KGS,22,16,03/11/2015,BOLSA 70X90 NEGRA,,ARSAIN,,,
,1 GAL,42,16,03/11/2015,SUAVIZANTE DE TELAS  SUAVITEL,,ARSAIN,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
