FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
34,,,,,,27-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
REFORMA,,,,,,MARIANA LOPEZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,10,26.58,16,2015-11-03,CARPETA LEFORT TAM CARTA ,,CONTABILIDAD,,,
,50,1.11,16,2015-11-03,SOBRE TAM CARTA,,COBRANZA,,,
,1,69.6,16,2015-11-03,LEGAJOS TAM CARTA,,COBRANZA,,,
,1,74.99,16,2015-11-03,PROTECTOR DE HOJAS KINERA CARTA CON 100,,COBRANZA,,,
,3,38.54,16,2015-11-03,CARPETA KINERA 2P.O.BCO.9201BL,,COBRANZA,,,
,1,696.18,16,2015-11-03,TONER SAMSUNG CLT-C406S CYAN,,,,,
,1,778.09,16,2015-11-03,TONER SAMSUNG CLT-K406S NEGRO,,,,,
,1,696.17,16,2015-11-03,TONER SAMSUNG CLT-M406S MAGENTA,,,,,
,1,696.18,16,2015-11-03,TONER SAMSUNG CLT-Y406S AMARILLO,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
