STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,1,96.39,16,06/10/2015,BOLSA P/ ENMICAR MODELO 1209 11.5 X 8 C.M. C/100,
,1,118.37,16,06/10/2015,BROCHE P/ GAFETE(CAIMAN) CA1501,
,1,26.68,16,06/10/2015,CARPETA PANORAMICA BLANCA TAMANO CARTA 21.5 X 28 C.M.,
,2,15.82,16,06/10/2015,CLIP MARIPOSA N 2 C/50,
,2,10.2,16,06/10/2015,CLIP STANDAR N1 C/50,
,5,11.46,16,06/10/2015,ETIQUETAS AUTO-ADHERIBLES MOD 19 X 38 C/600,
,1,78.28,16,06/10/2015,FOLDER TAMA¾O CARTA C/100,
,2,18.45,16,06/10/2015,GRAPAS STANDAR N400 C/25,
,20,39.84,16,06/10/2015,HOJAS P/ IMPRESIONES TAMANO CARTA 8.5 X 11 C.M,
,12,2.46,16,06/10/2015,LAPIZ DE GRAFITO N2 C/12,
,1,16.87,16,06/10/2015,NOTAS AUTO-ADHERIBLES AMARILLO 76 MN X 76 MN C/500,
,1,30.95,16,06/10/2015,PEGAMENTO PRITT 40 G,
,12,1.98,16,06/10/2015,PLUMA MEDIANO CRISTAL COLOR AZUL,
,12,1.98,16,06/10/2015,PLUMA MEDIANO CRISTAL COLOR NEGRO,
,250,4.98,16,06/10/2015,SOBRE BOLSA P/RADIOGRAFIA 40X50 C/250,
,300,1.34,16,06/10/2015,SOBRE FORTEC MANILA T EXTRA OFICIO 26x34,
,200,1.48,16,06/10/2015,SOBRE FORTEC MANILA T/ OFICIO 24X34,
,100,0.31,16,06/10/2015,SOBRE OFICIO N10 C/100,
,1,39.84,16,06/10/2015,HOJAS PARA IMPRESION TAMANO OFICIO,
