STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,
,5,41.56,16,2015-10-05,CARPETA KINERA 2P.O.BCO,,
,3,28.83,16,2015-10-05,CARPETA KINERA 1P.O.BCO,,
,3,8.03,16,2015-10-05,CORRECTOR BROCHA ,,
,20,28.71,16,2015-10-05,CARPETA LEFORT TAM CARTA,,
,12,1.98,16,2015-10-05,BOLIGRAFO BIC MED NEGRO ,,
,4,3.96,16,2015-10-05,CINTA JANEL TRANSPARENTE 18 X 33,,
,20,39.84,16,2015-10-05,PAPEL SPEED COPY CARTA C/500,,
,8,4.39,16,2015-10-05,RESALTADOR HI-LITER NARANJA,,
,3,41.28,16,2015-10-05,ARCHIFUELLE PLASTICO TAMA¥O MEDIA CARTA,,
,6,4.39,16,2015-10-05,RESALTADOR HI-LITER ROSA,,
,1,187.47,16,2015-10-05,COLGANTE PENDAFLEX COLOR AZUL,,
,3,19.88,16,2015-10-05,TABLA MADERA CON BROCHE,,
,1,705,16,2015-10-05,HOJAS PUNTEADAS 7 CMS,,
,2,1051.78,16,2015-10-05,DISCO DURO 1 T,,
,1,27.17,16,2015-10-05,MOUSE PAD,,
,4,39.27,16,2015-10-05,BANDERILLAS ,,
,5,13.31,16,2015-10-05,MEMOTIP 2X2 ,,
,3,29.98,16,2015-10-05,CORRECTOR CINTA ,,
,3,24.26,16,2015-10-05,CORRECTOR PLUMA ,,
,2,39.94,16,2015-10-05,CINTA SCOTH MAGICA ,,
