FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
25,,,,,,30-sep-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
LAS AMERICAS,,,,,,DANIEL ACOSTA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
PAPELERIA,100 PZS,,,,BOLSA P/ ENMICAR MODELO 1209 11.5 X 8 C.M. C/100,,,,,
PAPELERIA,100 PZS,,,,BROCHE P/ GAFETE(CAIMAN) CA1501,,,,,
PAPELERIA,1 PZ,,,,CARPETA PANORAMICA BLANCA TAMA•O CARTA 21.5 X 28 C.M.,,,,,
PAPELERIA,2 PAQ,,,,CLIP MARIPOSA Nß 2 C/50,,,,,
PAPELERIA,2 PAQ,,,,CLIP STANDAR Nß1 C/50,,,,,
PAPELERIA,5 PAQ,,,,ETIQUETAS AUTO-ADHERIBLES MOD 19 X 38 C/600,,,,,
PAPELERIA,1 PAQ,,,,FOLDER TAMA•O CARTA C/100,,,,,
PAPELERIA,2 PAQ,,,,GRAPAS STANDAR Nß400 C/25,,,,,
PAPELERIA,10000 PZS,,,,HOJAS P/ IMPRESIONES TAMA•O CARTA 8.5 X 11 C.M,,,,,
PAPELERIA,1 CJ,,,,LAPIZ DE GRAFITO Nß2 C/12,,,,,
PAPELERIA,500 PZS,,,,NOTAS AUTO-ADHERIBLES AMARILLO 76 MN X 76 MN C/500,,,,,
PAPELERIA,1 PZ,,,,PEGAMENTO PRITT 40 G,,,,,
PAPELERIA,8 PZS,,,,PLUMA MEDIANO CRISTAL COLOR AZUL,,,,,
PAPELERIA,8 PZS,,,,PLUMA MEDIANO CRISTAL COLOR NEGRO,,,,,
PAPELERIA,250 PZS,,,,SOBRE BOLSA P/RADIOGRAFIA 40X50 C/250,,,,,
PAPELERIA,300 PZS,,,,SOBRE BOLSA T EXTRA OFICIO AMARILLO 25.5 X 34.0 C/50,,,,,
PAPELERIA,200 PZS,,,,SOBRE BOLSA TAMA•O CARTA 26X34 AMARILLO,,,,,
PAPELERIA,100 PZS,,,,SOBRE OFICIO Nß10 C/100,,,,,
TONER,3 PZS,,,,TONER REMANUFACTURADO HPCE505A,,,,,
PAPELERIA,100 PZS,,,,HOJAS PARA IMPRESI‡N TAMA•O OFICIO,,,,,
TONER,3 PZS,,,,TONER REMANUFACTURADO C E 278 A,,,,,
IMPRENTA,1000 PZS,,,,BLOCK DE ESTUDIO AUDIOMETRICO C/25,,,,,
IMPRENTA,3000 PZS,,,,BLOCK DE RECETAS MEDICAS C/50,,,,,
IMPRENTA,1000 PZS,,,,BLOCK P/  EXAMENES DE LABORATORIO C/50,,,,,
IMPRENTA,5000 PZS,,,,HISTORIAS CLINICAS PREHOSPITALARIAS C/50,,,,,
IMPRENTA,5000 PZS,,,,HOJAS MEMBRETADAS C/1000,,,,,
,4,45,16,2015-10-06,REPUESTO AROMATIZANTE WIESE 191G,,,,,
LIMPIEZA,3 GAL,,,,BLANQUEADOR 3.500LTS,VARSSET,,,,
LIMPIEZA,4 KGS,,,,BOLSA P/ BASURA NEGRA TIPO CAMISA 18 X 68,VARSSET,,,,
LIMPIEZA,3 GAL,,,,LIMPIADOR FABULOSO DE 3.500 LTS,VARSSET,,,,
,5,145,16,2015-10-06,PAPEL HIGIENICO TORK JUNIOR,,,,,
LIMPIEZA,3 GAL,,,,SHAMPOO P/ MANOS Y CUERPO 3.500 LTS,VARSSET,,,,
,5,115,16,2015-10-06,TOALLA INTERDOBLADA TORK BLANCA C/2000,,,,,
,1,330,16,2015-10-06,VASOS CONICOS DE PAPEL C/5000,,,,,
LIMPIEZA,5 LITROS,,,,SHAMPO PARA AUTOMOVIL,VARSSET,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
