FORMATO DE REQUISICIàN,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
26,,,,,,30-sep-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU¥OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
LIMPIEZA,14 CJS,CJAS,,,TOALLA INTER. TORK BLANCA C/2000 CLAVE 700044420,SG,ARSAIN,,,
LIMPIEZA,2 CJS ,CJAS,,,PAPEL HIG. 700527 180 MTS TORK C/12 ROLLCLAVE 700527,SG,ARSAIN,,,
LIMPIEZA,1 CJ,CJA,,,ROLLO CAFE 3690,SG,ARSAIN,,,
,2,30,16,06/10/2015,LIMPIADOR C/ACEITE DE PINO 4LTO,,,,,
,2,28,16,06/10/2015,LIMPIADOR LAVANDA 4LTO,,,,,
,1,25,16,06/10/2015,ACIDO 4LTO,,,,,
,2,35,16,06/10/2015,SHAMPOO PARA MANOS 4LTO,,,,,
LIMPIEZA,7 PZS,PZAS,,,PASTILLAS (para ba¤o),SG,ARSAIN,,,
LIMPIEZA,12 PZS,PZA,,,"AROMATIZANTES WIESE 400 ML (., 7-AMORE, 5 DE MANZANA CON CANELA)",SG,ARSAIN,,,
,3,22,16,06/10/2015,BOLSA 90X120 NEGRA,,,,,
,3,22,16,06/10/2015,BOLSA 70X90 NEGRA,,,,,
LIMPIEZA,1 PZ,PZA,,,FUNDA DEL TRAPEADOR DE AVION 60cm,SG,ARSAIN,,,
LIMPIEZA,7 CJS,CJAS,,,KLEENEX,SG,ARSAIN,,,
LIMPIEZA,1 PZ,PZA,,,PLEDGEÿ (para muebles de madera)ÿ EN AEROSOL,SG,ARSAIN,,,
,3,55,16,06/10/2015,DETERGENTE LIQUIDO PARA ROPA 4LTO,,,,,
,1,42,16,06/10/2015,SUAVISANTE MARCA SUAVITEL 4LTO,,,,,
PAPELERIA,6 PAQ,,,,HOJAS DE MAQUINA T. CARTA BOND,,ARSAIN,,,
PAPELERIA,1 PAQ,,,,MARCADORES PARA PIZARRON BLANCO,,ARSAIN,,,
PAPELERIA,3 PZS,,,,LIQUID PAPER,,ARSAIN,,,
PAPELERIA,1 PZ,,,,LIBRO FLORETE 192 H F.F. DIARIO ESTRELLA (RAYA),,ARSAIN,,,
PAPELERIA,1 PAQ,,,,PILAS DURACELL AA /4,,ARSAIN,,,
PAPELERIA,50 PZS,,,,SOBRES T. OFICIO (Chicos),,ARSAIN,,,
PAPELERIA,1 PZ,,,,TIJERAS,,ARSAIN,,,
PAPELERIA,150 PZS,,,,DVD'S,,SAINAR,,,
PAPELERIA,1 BOLSA,,,,PAQ. DE SOBRE (50 pzas) Bolsa grande p/ Radiograf¡a,,SAINAR,,,
PAPELERIA,50 PZS,,,,SOBRES (BOLSA) T. OFICIO (env¡o muestra),,SAINAR,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
