FORMATO DE REQUISICI‡N,,,,,,,,,,
MEDICA GLOBAL ARSAIN SA DE CV,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
20,,,,,,31-ago-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU•OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,1,118,16,2015-09-04,TOALLA INTERDOBLADA SOFT & WHITE C/2000,,ARSAIN,,,
,2,30,16,2015-09-04,LIMPIADOR C/ACEITE DE PINO 4LTO,,ARSAIN,,,
,2,28,16,2015-09-04,LIMPIADOR LAVANDA 4LTO,,ARSAIN,,,
,1,25,16,2015-09-04,ACIDO 4LTO,,ARSAIN,,,
,2,35,16,2015-09-04,SHAMPOO MANOS 4LTO,,ARSAIN,,,
,3,22,16,2015-09-04,BOLSA NEGRA 90 X 1.20,,ARSAIN,,,
,3,22,16,2015-09-04,BOLSA NEGRA 70 X 90,,ARSAIN,,,
,2,12,16,2015-09-04,GUANTES (PARA LIMPIEZA) MEDIANOS,,ARSAIN,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
