STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,2,0,0,2016-06-21,ACETAZOLAMIDA 250MG C/30 TAB.,3
,4,0,0,2016-06-21,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21
,6,0,0,2016-06-21,"PENICILINA CLEMIZOL + BENCILPENICILINA SODICA 1,000,000UI + 1 AMP. DE DILUYENTE",26
,5,0,0,2016-06-21,DILTIAZEM 90MG C/20 TAB.,28
,8,0,0,2016-06-21,VALPROATO DE MAGNESIO 500MG C/20 TAB.,37
,8,0,0,2016-06-21,VALPROATO DE MAGNESIO 600MG C/30 TAB.,38
,8,0,0,2016-06-21,SULFATO DE ATROPINA 1% SOL. OFT. FCO. C/15ML,40
,4,0,0,2016-06-21,BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML,46
,4,0,0,2016-06-21,SULFADIACINA DE PLATA MICRONIZADA 1% CREMA TUBO C/30GR,67
,31,0,0,2016-06-21,MEMANTINA 10MG C/28 TAB.,83
,5,0,0,2016-06-21,DILTIAZEM 240MG C/10 TAB.,103
,61,0,0,2016-06-21,VITAMINAS + HIERRO C/36 TAB.,111
,4,0,0,2016-06-21,PEROXIDO DE BENZOILO 10% TUBO GEL C/60GR,115
,2,0,0,2016-06-21,CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML,121
,4,0,0,2016-06-21,ENANTATO DE PRASTERONA + VALERATO DE ESTRADIOL 200MG/4MG C/1 JER. PRELLENADA DE 1ML,138
,9,0,0,2016-06-21,CEFTIBUTEN 36MG/ML SUSP. FCO C/30ML,167
,3,0,0,2016-06-21,CEFTIBUTEN 400MG C/10 CAP.,168
,6,0,0,2016-06-21,ACIDO ASCORBICO 500MG C/100 TAB.,175
,28,0,0,2016-06-21,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179
,10,0,0,2016-06-21,ESTRADIOL 2MG + ACETATO D C/28 TAB.,180
,2,0,0,2016-06-21,IPRATROPIO + SALBUTAMOL 20MCG/100MCG SUSP. AEROSOL FCO. C/120 DOSIS,186
,4,0,0,2016-06-21,COMPLEJO B SOL. INY. FCO. C/10ML,189
,22,0,0,2016-06-21,"PANCREATINA + LIPASA + AMILASA + PROTEASA 10,000UI C/50 CAP.",193
,44,0,0,2016-06-21,BISOPROLOL 2.5MG C/30 GRAGEAS,206
,7,0,0,2016-06-21,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208
,22,0,0,2016-06-21,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225
,13,0,0,2016-06-21,DIACEREINA 50MG C/30 CAP.,226
,3,0,0,2016-06-21,CLOBETASOL 0.050% TUBO C/30GR,227
,2,0,0,2016-06-21,CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II),228
