FORMATO DE REQUISICIÖN,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ave,,,,,,carlos cantu,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,14,0,0,14/09/2015,5 FLUOROURACILO CREMA DE 5% TUBO C/20GR,2759,,0,$0.00,$0.00
,156,0,0,14/09/2015,5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.,446,,0,$0.00,$0.00
,396,0,0,14/09/2015,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,0,$0.00,$0.00
,2,0,0,14/09/2015,ACEITE DE RICINO FCO. C/60ML,2684,,0,$0.00,$0.00
,24,0,0,14/09/2015,ACETATO DE CALCIO + SULFATO DE ALUMINIO C/12 SOBRES,280,,0,$0.00,$0.00
,5,0,0,14/09/2015,ACETAZOLAMIDA 250MG C/30 TAB.,3,,0,$0.00,$0.00
,24,0,0,14/09/2015,ACETONIDO DE FLUOCINOLONA + CLIOQUINOL TUBO CREMA C/30GR,2766,,0,$0.00,$0.00
,89,0,0,14/09/2015,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,0,$0.00,$0.00
,77,0,0,14/09/2015,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,0,$0.00,$0.00
,12,0,0,14/09/2015,ACETONIDO DE FLUOCINOLONA TUBO C/30GR,511,,0,$0.00,$0.00
,118,0,0,14/09/2015,ACICLOVIR 200MG/5ML FCO. C/120ML,501,,0,$0.00,$0.00
,54,0,0,14/09/2015,ACICLOVIR 400MG C/35 COMP.,545,,0,$0.00,$0.00
,6,0,0,14/09/2015,ACICLOVIR COMPRIMIDOS 200MG C/25 COMP.,1424,,0,$0.00,$0.00
,41,0,0,14/09/2015,ACICLOVIR TUBO CREMA C/5GR,2607,,0,$0.00,$0.00
,2,0,0,14/09/2015,ACICLOVIR UNG?ENTO OFTALMICO 3GR EN 100GR TUBO C/4.5GR,2767,,0,$0.00,$0.00
,1375,0,0,14/09/2015,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,0,$0.00,$0.00
,7,0,0,14/09/2015,ACIDO ACETILSALICILICO 500MG C/20 TAB.,2768,,0,$0.00,$0.00
,18,0,0,14/09/2015,ACIDO ACEXAMICO + NEOMICINA UNG?ENTO 5GR/0.4GR EN 100GR TUBO C/40GR,727,,0,$0.00,$0.00
,2,0,0,14/09/2015,ACIDO ACEXAMICO 5GR/100GR UNG?ENTO TUBO C/40GR,726,,0,$0.00,$0.00
,20,0,0,14/09/2015,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,0,$0.00,$0.00
,9,0,0,14/09/2015,"ACIDO ASCORBICO + VITAMINA A + ERGOCALCIFERO VIT. A,C,D SOL. GOTAS C/15ML",2770,,0,$0.00,$0.00
,6,0,0,14/09/2015,ACIDO ASCORBICO 500MG C/100 TAB.,175,,0,$0.00,$0.00
,367,0,0,14/09/2015,ACIDO FOLICO 5MG C/50 TAB.,52,,0,$0.00,$0.00
,83,0,0,14/09/2015,ACIDO IBANDRONICO 150MG C/1 COMP.,1154,,0,$0.00,$0.00
,26,0,0,14/09/2015,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,0,$0.00,$0.00
,104,0,0,14/09/2015,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,0,$0.00,$0.00
,9,0,0,14/09/2015,ACIDO POLIACRILICO GEL OFTALMICO TUBO C/10GR,879,,0,$0.00,$0.00
,49,0,0,14/09/2015,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,0,$0.00,$0.00
,83,0,0,14/09/2015,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,0,$0.00,$0.00
,118,0,0,14/09/2015,ACIDO TIOCTICO 600MG C/30 TAB.,848,,0,$0.00,$0.00
,182,0,0,14/09/2015,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,0,$0.00,$0.00
,16,0,0,14/09/2015,ACIDO VALPROICO 250MG C/30 CAP.,264,,0,$0.00,$0.00
,70,0,0,14/09/2015,ACIDO VALPROICO JARABE 250MG C/120ML,290,,0,$0.00,$0.00
,4,0,0,14/09/2015,ACIDO ZOLEDRONICO 4MG AMP. FCO. 5ML,907,,0,$0.00,$0.00
,51,0,0,14/09/2015,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,0,$0.00,$0.00
,35,0,0,14/09/2015,ADAPALENE 1% CREMA C/30GR,1552,,0,$0.00,$0.00
,952,0,0,14/09/2015,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NIæO FCO. C/90 DISP. Y 1,2552,,0,$0.00,$0.00
,28,0,0,14/09/2015,ALBENDAZOL 200MG C/2 TAB.,957,,0,$0.00,$0.00
,30,0,0,14/09/2015,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,0,$0.00,$0.00
,157,0,0,14/09/2015,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,0,$0.00,$0.00
,166,0,0,14/09/2015,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,0,$0.00,$0.00
,12,0,0,14/09/2015,ALFAMETILDOPA 250MG C/30 TAB.,426,,0,$0.00,$0.00
,22,0,0,14/09/2015,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,0,$0.00,$0.00
,139,0,0,14/09/2015,ALMOTRIPTAN 12.5MG C/2 COMP.,2942,,0,$0.00,$0.00
,12,0,0,14/09/2015,ALOGLUTAMOL 500MG C/20 COMP.,758,,0,$0.00,$0.00
,320,0,0,14/09/2015,ALOPURINOL 300MG C/20 TAB.,54,,0,$0.00,$0.00
,110,0,0,14/09/2015,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,0,$0.00,$0.00
,37,0,0,14/09/2015,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,0,$0.00,$0.00
