FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,100,0,0,29/09/2016,VALSARTAN 160MG C/30 GRAGEAS,,,,
,120,0,0,29/09/2016,PREGABALINA 75MG C/28 CAP.,,,,
,50,0,0,29/09/2016,DIACEREINA 50MG C/30 CAP.,,,,
,40,0,0,29/09/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,,,,
,245,0,0,29/09/2016,DEXLANSOPRAZOL 30MG C/14 CAP.,,,,
,80,0,0,29/09/2016,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,,,,
,60,0,0,29/09/2016,METFORMINA 1GR C/30 TAB.,,,,
,100,0,0,29/09/2016,POLIVITAMINAS CON MINERALES C/30 CAP.,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
