STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR
,15,75.93,16,15/10/2015,AIRE COMPRIDO
,5,20.22,16,15/10/2015,CAJA DE GRAPAS STANDARD
,23,641,16,15/10/2015,CAJA DE HOJA PRECORTADA
,20,14.17,16,15/10/2015,CINTA SCOTCH
,10,8.03,16,15/10/2015,CORRECTOR
,2,78.75,16,15/10/2015,ENGRAPADORA STANLEY B440
,30,39.84,16,15/10/2015,HOJAS DE MAQUINA T/CARTA
,2,16.98,16,15/10/2015,KOLA LOKA
,50,2.76,16,15/10/2015,LAPICES NO. 2
,12,9.09,16,15/10/2015,MARCADOR NEGRO PERMANENTE PUNTO FINO
,48,4.39,16,15/10/2015,MARCATEXTO AMARILLO
,12,4.39,16,15/10/2015,MARCATEXTO AZUL
,12,4.39,16,15/10/2015,MARCATEXTO ROSA
,12,4.39,16,15/10/2015,MARCATEXTO VERDE
,10,69,16,15/10/2015,MEMORIA USB 8GB
,10,54.89,16,15/10/2015,PILAS 9 VOLTS
,6,38.49,16,15/10/2015,PILAS AA
,72,1.98,16,15/10/2015,PLUMA AZULES
,84,1.98,16,15/10/2015,PLUMA NEGRAS
,15,19.4,16,15/10/2015,POST-IT AMARILLO
,2,79.98,16,15/10/2015,PROTECTOR DE HOJAS DE CARTA
,10,11.96,16,15/10/2015,RESISTOL (BARRA)
,2,,16,15/10/2015,ROLLO DE PAPEL CONTAC 5MTS
,100,11.19,16,15/10/2015,ROLLO DE PAPEL P/TICKET
,100,1.13,16,15/10/2015,SOBRE BOLSA T/CARTA
,1,122.15,16,15/10/2015,CARTUCHO 662 COLOR HP
