,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,04-mar-16,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,1,0,0,2016-02-04,ACETAZOLAMIDA 250MG C/30 TAB.,3,,,,,
,1,0,0,2016-02-04,ALCOHOL POLIVINILICO 14MG/ML SOL.OFT. C/15ML,7,,,,,
,1,0,0,2016-02-04,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8,,,,,
,4,0,0,2016-02-04,TERAZOSINA 5MG C/30 TAB.,9,,,,,
,34,0,0,2016-02-04, POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21,,,,,
,440,0,0,2016-02-04,AMBROXOL SOL. ORAL FCO. C/120ML,22,,,,,
,103,0,0,2016-02-04,AMBROXOL GOTAS FCO. C/30ML,23,,,,,
,34,0,0,2016-02-04,DILTIAZEM 90MG C/20 TAB.,28,,,,,
,185,0,0,2016-02-04, AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,,,
,15,0,0,2016-02-04, AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,,,
,48,0,0,2016-02-04,DESLORATADINA 5MG C/30 TAB.,45,,,,,
,4,0,0,2016-02-04,BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML,46,,,,,
,62,0,0,2016-02-04,SULFASALAZINA 500MG C/60 GRAGEAS,47,,,,,
,35,0,0,2016-02-04,ACIDO FOLICO 5MG C/50 TAB.,52,,,,,
,172,0,0,2016-02-04,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57,,,,,
,2,0,0,2016-02-04,BROMURO DE IPRATROPIO 20MCG SUSP. AEROSOL C/200 DOSIS EN 10ML,62,,,,,
,10,0,0,2016-02-04,DESLORATADINA 50MG JARABE FCO C/120ML,69,,,,,
,4,0,0,2016-02-04,DILTIAZEM 60MG C/30 COMPS.,82,,,,,
,7,0,0,2016-02-04,MEMANTINA 10MG C/28 TAB.,83,,,,,
,13,0,0,2016-02-04,DICLOXACILINA 250MG C/20 CAP.,85,,,,,
,17,0,0,2016-02-04,MOXIFLOXACINO 400MG C/7 TAB.,86,,,,,
,172,0,0,2016-02-04,AMOXICILINA 500MG C/12 CAP.,98,,,,,
,4,0,0,2016-02-04,DILTIAZEM 240MG C/10 TAB.,103,,,,,
,22,0,0,2016-02-04, DIFENHIDRAMINA + GUAIFENESINA 28MG JARABE FCO C/150ML,114,,,,,
,1,0,0,2016-02-04,CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML,121,,,,,
,1,0,0,2016-02-04,FLAVOXATO 200MG C/20 GRAGEAS,123,,,,,
,12,0,0,2016-02-04, ENANTATO DE PRASTERONA + VALERATO DE ESTRADIOL 200MG/4MG C/1 JER. PRELLENADA DE 1ML,138,,,,,
,3,0,0,2016-02-04,CALAMINA LOCION FCO. 180ML,160,,,,,
,17,0,0,2016-02-04,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,,,
,6,0,0,2016-02-04,CEFTIBUTEN 36MG/ML SUSP. FCO C/30ML,167,,,,,
,24,0,0,2016-02-04,CEFTIBUTEN 400MG C/10 CAP.,168,,,,,
,183,0,0,2016-02-04,CEFALEXINA 500MG C/20 CAP.,169,,,,,
,8,0,0,2016-02-04,CISAPRIDA 10MG C/30 TAB.,177,,,,,
,3,0,0,2016-02-04,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179,,,,,
