,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,42447,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,1294,0,0,2016-03-22,OMEPRAZOL 20MG C/14 CAP.,657,,,,,
,850,0,0,2016-03-22,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,
,693,0,0,2016-03-22,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,,,
,640,0,0,2016-03-22,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,,,
,634,0,0,2016-03-22,ATORVASTATINA 10MG C/20 TAB.,2762,,,,,
,630,0,0,2016-03-22,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,296,,,,,
,630,0,0,2016-03-22,ATORVASTATINA 20MG C/10 TAB.,2761,,,,,
,600,0,0,2016-03-22,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,,,
,477,0,0,2016-03-22,PARACETAMOL 1GR C/20 TAB.,810,,,,,
,474,0,0,2016-03-22,IBUPROFENO 400MG C/10 TAB.,2678,,,,,
,464,0,0,2016-03-22,DICLOFENACO 1.160% GEL C/60GR,371,,,,,
,419,0,0,2016-03-22,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,,,
,409,0,0,2016-03-22,PIOGLITAZONA 30MG C/7 TAB.,914,,,,,
,400,0,0,2016-03-22,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552,,,,,
,394,0,0,2016-03-22,PARACETAMOL 500MG C/10 TAB.,712,,,,,
,343,0,0,2016-03-22,AMLODIPINO 5MG C/10 TAB.,2593,,,,,
,342,0,0,2016-03-22,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,,,
,330,0,0,2016-03-22,PREGABALINA 75MG C/28 CAP.,512,,,,,
,325,0,0,2016-03-22,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,,,
,320,0,0,2016-03-22,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,,,
,320,0,0,2016-03-22,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,,,
,301,0,0,2016-03-22,SENOSIDOS A-B 374MG C/30 TAB.,789,,,,,
,300,0,0,2016-03-22,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,,,
,300,0,0,2016-03-22,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,,,
,300,0,0,2016-03-22,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,,,
,300,0,0,2016-03-22,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,2608,,,,,
,297,0,0,2016-03-22,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,,,
,292,0,0,2016-03-22,METFORMINA 850MG C/30 TAB.,1897,,,,,
