,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,FECHA:,,,,,,
,,,,,,11-ene-16,,,,,,
,,,,,,ELABORADO POR:,,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,,
,20,0,0,2015-01-12,BENCILPENICILINA BENZATAçNICA1 200 000UI SOL. INY.,128,NO LO RECONOCE,,,,,
,10,0,0,2015-01-12,ENANTATO DE PRASTERONA + VALERATO DE ESTRADIOL 200MG/4MG C/1 JER. PRELLENADA DE 1ML,138,,,,,,
,27,0,0,2015-01-12,TRIAMCINOLONA 56.10MG SUSP. FCO C/16.5ML,610,,,,,,
,14,0,0,2015-01-12,HIDROXIPROPILMETILCELULOSA + DEXTRAN UNGUENTO TUBO C/3.5GR,612,,,,,,
,14,0,0,2015-01-12,KETOCONAZOL 2/100ML SHAMPOO C/1,840,,,,,,
,16,0,0,2015-01-12,BISOPROLOL 5MG C/30 GRAGEAS,1160,,,,,,
,2,0,0,2015-01-12,OLANZAPINA + FLUOXETINA 6/25MG C/14 CAP.,1180,,,,,,
,55,0,0,2015-01-12,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,,,,,,
,5,0,0,2015-01-12,CALCITRIOL 0.25MCG C/50 CAP.,1862,,,,,,
,10,0,0,2015-01-12,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,,,,,
,65,0,0,2015-01-12,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,,,,,,
,27,0,0,2015-01-12,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,,,,,,
,8,0,0,2015-01-12,LEVOCETIRIZINA GOTAS C/10ML,2736,,,,,,
,27,0,0,2015-01-12,SAXAGLIPITINA + METFORMINA 5MG/1000MG C/28 TAB.,2929,,,,,,
,8,0,0,2015-01-12,AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.,2944,,,,,,
,38,0,0,2015-01-12,IBUPROFENO + PARACETAMOL 325MG C/12 TAB. ,3027,,,,,,
,10,0,0,2015-01-12,ETANERCEPT 25MG FCO. C/4 AMP.,349,,,,,,
,1,0,0,2015-01-12,TALIDOMIDA 100MG C/50 TAB.,1076,,,,,,
,1,0,0,2015-01-12,EFAVIRENZ 600MG C/30 COMP.,1571,,,,,,
,1,0,0,2015-01-12,MICOFENOLATO SODICO 360MG C/120 TAB.,2822,,,,,,
,2,0,0,2015-01-12,MARAVIROC 150MG C/60 TAB.,2992,,,,,,
,1,0,0,2015-01-12,NILOTIMIB 200MG C/40 CAP. ,3038,,,,,,
,2,0,0,2015-01-12,CLOZAPINA 100MG C/30 TAB. (II),606,,,,,,
,12,0,0,2015-01-12,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,,,,
,2,0,0,2015-01-12,METILFENIDATO 20MG C/30 CAP.,1779,,,,,,
,2,0,0,2015-01-12,BUPRENORFINA 30MG C/4 PARCHES (II),2758,,,,,,
,4,0,0,2015-01-12,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,,,,
,4,0,0,2015-01-12,LEVETIRACETAM 500MG C/30 TAB.,469,,,,,,
,8,0,0,2015-01-12,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,,,,
,8,0,0,2015-01-12,VALSARTAN 160MG C/30 GRAGEAS,1767,,,,,,
,4,0,0,2015-01-12,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,,,,
,8,0,0,2015-01-12,FENOFIBRATO 160MG C/30 CAP.,1190,,,,,,
,4,0,0,2015-01-12,ESTROGENOS CONJUGADOS DE ORIGEN EQUINO TUBO C/43GR,679,,,,,,
