,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,09-oct-15,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,,,
,20,0,0,2015-10-13,5 FLUOROURACILO CREMA DE 5% TUBO C/20GR,2759,0,0,,,
,206,0,0,2015-10-13,5-MONONITRATO DE ISOSORBIDA 60Mg C/20 TABLETAS,446,0,0,,,
,2,0,0,2015-10-13,ABIRATERONA 250MG C/120 TAB.,2939,0,0,,,
,685,0,0,2015-10-13,ACEITE DE ALMENDRAS-UREA-VIT.B5 CREMA TUBO 125G.,1550,0,0,,,
,1,0,0,2015-10-13,ACEITE DE RICINO FRASCO 60ML,2684,0,0,,,
,8,0,0,2015-10-13,ACENOCUMAROL TABS. DE 4 MG. C/30,768,0,0,,,
,140,0,0,2015-10-13,ACETATO DE BETAMETASONA  Y FOSFATO SODICO AMP. 2.71 / 3 MG  C/1 JER. PRELLENADA,208,0,0,,,
,24,0,0,2015-10-13,ACETATO DE CALCIO + SULFATO DE ALUMINIO CAJA C/12 SOBRES,280,0,0,,,
,6,0,0,2015-10-13,ACETATO DE CLORMADINONA TABS. DE  2 MG C/20,493,0,0,,,
,18,0,0,2015-10-13,ACETATO DE CLORMADINONA TABS. DE 5 MG C/20,494,0,0,,,
,2,0,0,2015-10-13,ACETATO DE GLATIRAMER SOL INY C20 MG/ML C/28 JER. PRELLENADAS,224,0,0,,,
,11,0,0,2015-10-13,ACETATO DE LEUPRORELINA 1 F. A. 3.75  MG. DE 2 ML + 1 AMP DE DILUYENTE,2821,0,0,,,
,14,0,0,2015-10-13,ACETATO DE PREDNISOLONA SUSP. OFTALMICA DE 10 MG FCO. C/5 ML,784,0,0,,,
,4,0,0,2015-10-13,ACETAZOLAMIDA TABS. 250 MG C/30,3,0,0,,,
,38,0,0,2015-10-13,ACETONIDO DE FLUOCINOLONA + CLIOQUINOL TUBO CREMA 30GR,2766,0,0,,,
,153,0,0,2015-10-13,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL OVULOS C/10,53,0,0,,,
,93,0,0,2015-10-13,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B+NEOMICINA+LIDOCAINA SOLUCION OTICAS FCO. DE 15 ML,775,0,0,,,
,18,0,0,2015-10-13,ACETONIDO DE FLUOCINOLONA TUBO 30GR.,511,0,0,,,
,5,0,0,2015-10-13,ACICLOVIR COMPRIMIDOS 200mg C/25,1424,0,0,,,
,37,0,0,2015-10-13,ACICLOVIR CREMA TUBO 5GR.,2607,0,0,,,
,124,0,0,2015-10-13,ACICLOVIR FRASCO 200MG/5ML,501,0,0,,,
,48,0,0,2015-10-13,ACICLOVIR TABLETAS 400MG. C/35,545,0,0,,,
,1,0,0,2015-10-13,ACICLOVIR UNGUENTO OFTALMICO 3 GR EN 100 GR TUBO 4.5 GR.,2767,0,0,,,
