,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,20-nov-15,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,10,0,0,2015-11-20,5 FLUOROURACILO CREMA DE 5% TUBO C/20GR,2759,,,,,
,229,0,0,2015-11-20,5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.,446,,,,,
,1,0,0,2015-11-20,ABIRATERONA 250MG C/120 TAB.,2939,,,,,
,315,0,0,2015-11-20,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,,,
,1,0,0,2015-11-20,ACEITE DE RICINO FCO. C/60ML,2684,,,,,
,7,0,0,2015-11-20,ACENOCUMAROL,768,,,,,
,19,0,0,2015-11-20,ACETATO DE CALCIO + SULFATO DE ALUMINIO C/12 SOBRES,280,,,,,
,5,0,0,2015-11-20,ACETAZOLAMIDA 250MG C/30 TAB.,3,,,,,
,13,0,0,2015-11-20,ACETONIDO DE FLUOCINOLONA + CLIOQUINOL TUBO CREMA C/30GR,2766,,,,,
,91,0,0,2015-11-20,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,,,,
,84,0,0,2015-11-20,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,,,,
,12,0,0,2015-11-20,ACETONIDO DE FLUOCINOLONA TUBO C/30GR,511,,,,,
,63,0,0,2015-11-20,ACICLOVIR 400MG C/35 COMP.,545,,,,,
,14,0,0,2015-11-20,ACICLOVIR COMPRIMIDOS 200MG C/25 COMP.,1424,,,,,
,60,0,0,2015-11-20,ACICLOVIR TUBO CREMA C/5GR,2607,,,,,
,3,0,0,2015-11-20,ACICLOVIR UNGUENTO OFTALMICO 3GR EN 100GR TUBO C/4.5GR,2767,,,,,
,1727,0,0,2015-11-20,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,,,
,13,0,0,2015-11-20,ACIDO ACETILSALICILICO 500MG C/20 TAB.,2768,,,,,
,26,0,0,2015-11-20,ACIDO ACEXAMICO + NEOMICINA UNGUENTO 5GR/0.4GR EN 100GR TUBO C/40GR,727,,,,,
,6,0,0,2015-11-20,ACIDO ACEXAMICO 5GR/100GR UNGUENTO TUBO C/40GR,726,,,,,
,45,0,0,2015-11-20,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,,,,
,59,0,0,2015-11-20,"ACIDO ASCORBICO + VITAMINA A + ERGOCALCIFERO VIT. A,C,D SOL. GOTAS C/15ML",2770,,,,,
,19,0,0,2015-11-20,ACIDO ASCORBICO 500MG C/100 TAB.,175,,,,,
,441,0,0,2015-11-20,ACIDO FOLICO 5MG C/50 TAB.,52,,,,,
,97,0,0,2015-11-20,ACIDO IBANDRONICO 150MG C/1 COMP.,1154,,,,,
,53,0,0,2015-11-20,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,,,,
,138,0,0,2015-11-20,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,,,,
,14,0,0,2015-11-20,ACIDO POLIACRILICO GEL OFTALMICO TUBO C/10GR,879,,,,,
,33,0,0,2015-11-20,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,,,,
,182,0,0,2015-11-20,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,,,,
,152,0,0,2015-11-20,ACIDO TIOCTICO 600MG C/30 TAB.,848,,,,,
,245,0,0,2015-11-20,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,,,
,20,0,0,2015-11-20,ACIDO VALPROICO 250MG C/30 CAP.,264,,,,,
,87,0,0,2015-11-20,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,,,
,3,0,0,2015-11-20,ACIDO ZOLEDRONICO 4MG AMP. FCO. 5ML,907,,,,,
,66,0,0,2015-11-20,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,,,,
,40,0,0,2015-11-20,ADAPALENE 1% CREMA C/30GR,1552,,,,,
,1454,0,0,2015-11-20,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552,,,,,
,38,0,0,2015-11-20,ALBENDAZOL 200MG C/2 TAB.,957,,,,,
,45,0,0,2015-11-20,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,,,
,235,0,0,2015-11-20,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,,,
,154,0,0,2015-11-20,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,,,
,12,0,0,2015-11-20,ALFAMETILDOPA 250MG C/30 TAB.,426,,,,,
,9,0,0,2015-11-20,ALFARE POLVO LATA C/400GR,2469,,,,,
,24,0,0,2015-11-20,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,,,
,125,0,0,2015-11-20,ALMOTRIPTAN 12.5MG C/2 COMP.,2942,,,,,
,12,0,0,2015-11-20,ALOGLUTAMOL 500MG C/20 COMP.,758,,,,,
,434,0,0,2015-11-20,ALOPURINOL 300MG C/20 TAB.,54,,,,,
,142,0,0,2015-11-20,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,,,
,47,0,0,2015-11-20,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,,,,
,31,0,0,2015-11-20,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,,,
,20,0,0,2015-11-20,ALTHERA POLVO LATA C/450GR,2019,,,,,
,79,0,0,2015-11-20,ALUMINIO + MAGNESIO + DIMETICONA C/50 TAB. (MENTA),699,,,,,
,194,0,0,2015-11-20,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,,,
,86,0,0,2015-11-20,AMANTADINA + CLORFENAMINA + PARACETAMOL + FENILEFRINA SOL. FCO. C/60ML,2780,,,,,
,956,0,0,2015-11-20,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664,,,,,
,331,0,0,2015-11-20,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,,,
,226,0,0,2015-11-20,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,,,
,542,0,0,2015-11-20,AMBROXOL 30MG C/20 COMP.,1450,,,,,
,206,0,0,2015-11-20,AMBROXOL GOTAS FCO. C/30ML,23,,,,,
,691,0,0,2015-11-20,AMBROXOL SOL. ORAL FCO. C/120ML,22,,,,,
,96,0,0,2015-11-20,AMIKACINA 500MG C/1X2ML AMP.,2604,,,,,
,103,0,0,2015-11-20,AMINOFENAZONA + BUFENINA + DIFENILPIRALI C/20 CAP.,363,,,,,
,99,0,0,2015-11-20,AMINOFENAZONA + BUFENINA + DIFENILPIRALI SOL. GOTAS C/25ML,362,,,,,
,15,0,0,2015-11-20,AMISULPRIDA,3025,,,,,
,20,0,0,2015-11-20,AMISULPRIDA 400MG C/7 TAB. ,788,,,,,
,40,0,0,2015-11-20,AMITRIPTILINA 25MG C/50 TAB.,84,,,,,
,877,0,0,2015-11-20,AMLODIPINO 5MG C/10 TAB.,2593,,,,,
,347,0,0,2015-11-20,AMOXICILINA + ACIDO CLAVULANICO 500MG/125MG C/10 TAB.,1454,,,,,
,910,0,0,2015-11-20,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,,,,,
,633,0,0,2015-11-20,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,,,
,52,0,0,2015-11-20,AMOXICILINA 250MG SUSP. C/75ML,24,,,,,
,479,0,0,2015-11-20,AMOXICILINA 500MG C/12 CAP.,98,,,,,
,36,0,0,2015-11-20,AMOXICILINA 500MG SUSP. C/75ML ,2945,,,,,
,27,0,0,2015-11-20,AMOXICILINA/ACIDO CLAVULANICO 200MG/285MG/5ML FCO. C/40ML,1852,,,,,
,21,0,0,2015-11-20,AMPICILINA 1GR I.M. C/1 AMP.,99,,,,,
,7,0,0,2015-11-20,AMPICILINA 250MG SUSP. C/60ML,2781,,,,,
,127,0,0,2015-11-20,AMPICILINA 500MG C/20 CAP.,2565,,,,,
,36,0,0,2015-11-20,ANASTROZOL 1MG C/28 TAB.,35,,,,,
,28,0,0,2015-11-20,ANFEBUTAMONA 150MG LIB. PROL. C/30 TAB.,891,,,,,
,5,0,0,2015-11-20,APIXABAN 2.5MG C/60 TAB.,3019,,,,,
,3,0,0,2015-11-20,APIXABAN 5MG C/60 TAB.,3020,,,,,
,4,0,0,2015-11-20,APOSITO HIDROCOLOIDE EXTRA DELGADO 10X10 C/10 PARCHES,1035,,,,,
,21,0,0,2015-11-20,ARIPIPRAZOL 15MG C/10 TAB.,50,,,,,
,3,0,0,2015-11-20,ATAZANAVIR 300MG C/30 CAP.,2883,,,,,
,56,0,0,2015-11-20,ATENOLOL 100MG C/28 TAB.,849,,,,,
,88,0,0,2015-11-20,ATENOLOL 50MG C/28 TAB.,2782,,,,,
,8,0,0,2015-11-20,ATOMOXETINA 10MG C/14 CAP.,1034,,,,,
,31,0,0,2015-11-20,ATOMOXETINA 18MG C/14 CAP.,804,,,,,
,40,0,0,2015-11-20,ATOMOXETINA 25MG C/14 CAP.,794,,,,,
,13,0,0,2015-11-20,ATOMOXETINA 40MG C/14 CAP.,807,,,,,
,26,0,0,2015-11-20,ATOMOXETINA 60MG C/14 CAP.,966,,,,,
,1524,0,0,2015-11-20,ATORVASTATINA 10MG C/20 TAB.,2762,,,,,
,1339,0,0,2015-11-20,ATORVASTATINA 20MG C/10 TAB.,2761,,,,,
,543,0,0,2015-11-20,ATORVASTATINA 40MG C/10 TAB.,2763,,,,,
,38,0,0,2015-11-20,AZATIOPRINA 50MG C/50 TAB.,51,,,,,
,10,0,0,2015-11-20,AZELASTINA SOL. OFT. 0.05% FCO. C/5ML,61,,,,,
,51,0,0,2015-11-20,AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.,2944,,,,,
,48,0,0,2015-11-20,AZILSARTAN MEDOXOMILO + CLORTALIDONA 80/12.5 C/28 TAB.,2948,,,,,
,35,0,0,2015-11-20,AZILSARTAN MEDOXOMILO 40MG C/28 TAB.,2946,,,,,
,19,0,0,2015-11-20,AZILSARTAN MEDOXOMILO 80MG C/28 TAB.,2947,,,,,
,490,0,0,2015-11-20,AZITROMICINA 500MG C/3 TAB.,1854,,,,,
,122,0,0,2015-11-20,AZITROMICINA 600MG FCO. SUSP. C/15ML,1855,,,,,
,15,0,0,2015-11-20,BACLOFENO 10MG C/100 TAB.,2980,,,,,
,115,0,0,2015-11-20,"BENCILPENICILINA BENZATAçNICA 1,200,000UI SOL. INY.",128,,,,,
,26,0,0,2015-11-20,"BENCILPENICILINA SODICA 1,000,000 UI + 1 FCO. C/2ML AMP. DIL.",707,,,,,
,3,0,0,2015-11-20,BENZOATO DE ESTRADIOL + PROGESTERONA JER. 5MG/50MG C/1ML,532,,,,,
,255,0,0,2015-11-20,BENZONATATO 100MG C/20 PERLAS,2880,,,,,
,9,0,0,2015-11-20,BENZONATATO 50MG C/6 SUP.,2783,,,,,
,89,0,0,2015-11-20,BETAHISTINA 24MG C/30 TAB.,2931,,,,,
,219,0,0,2015-11-20,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568,,,,,
,328,0,0,2015-11-20,BETAMETASONA + FOSFATO SODICO 2.71/3MG C/1 JER. PRELLENADA,208,,,,,
,66,0,0,2015-11-20,BETAMETASONA + GENTAMICINA TUBO CREMA C/30GR,276,,,,,
,46,0,0,2015-11-20,BETAMETASONA LOCION CAPILAR FCO. C/50ML,120,,,,,
,5,0,0,2015-11-20,BETAMETASONA LOCION FCO. SUSP. C/100ML,119,,,,,
,29,0,0,2015-11-20,BETAMETASONA PEDIATRICA  50MG GOTAS FCO. C/60ML,171,,,,,
,103,0,0,2015-11-20,BETAMETASONA TUBO C/30GR,2784,,,,,
,400,0,0,2015-11-20,BEZAFIBRATO 400MG C/10 TAB.,1858,,,,,
,6,0,0,2015-11-20,BICALUTAMIDA 150MG C/28 TAB.,2753,,,,,
,14,0,0,2015-11-20,BICALUTAMIDA 50MG C/28 TAB.,2870,,,,,
,69,0,0,2015-11-20,BIFONAZOL TUBO CREMA C/20GR,1271,,,,,
,17,0,0,2015-11-20,BIMATOPROST + TIMOLOL 0.03%/0.05% SOL. OFT. C/3ML,1793,,,,,
,19,0,0,2015-11-20,BIMATOPROST GOTAS 0.03% SOL. OFT. C/3ML,1058,,,,,
,204,0,0,2015-11-20,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,,,
,217,0,0,2015-11-20,BISOPROLOL 2.5MG C/30 GRAGEAS,206,,,,,
,84,0,0,2015-11-20,BISOPROLOL 5MG C/30 GRAGEAS,1160,,,,,
