STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01143_01,3,7501326002912,1506117
02553_01,3,7501165006171,535584
01852_01,10,7502009740497,153866
02900_01,10,7501082242386,C555390
00810_01,17,7501871720675,77555
00700_01,5,780083140595,16140828
00276_01,1,7501050611404,150590A
01075_01,2,7501092773511,11188362
00665_02,3,7501672690085,746
02680_01,11,7502227870228,RFS079
02593_04,80,7501573902850,SC1617
01258_01,3,7501123011704,1331152
02591_02,3,7501092793038,11185255
00976_01,2,656599041216,151319
02587_01,9,7501573900115,SA1603
01505_01,7,7502009740367,154610
00525_01,1,7501101612282,15L241V1
00525_01,3,7501101612282,16B209V1
