STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02193_01,2,7501033952784,58219MC
01505_01,2,7502009740367,152713
01928_01,15,7502227871799,RVN074
00169_01,10,7502208891891,508074
00687_01,20,7501349011175,I115D163
00815_01,2,7501094910556,T2936
00886_01,12,7501287660312,1502251A
02808_01,5,7501109763436,15K129
02861_01,1,7501123013302,129462
00294_06,13,7502216795044,15F120
02627_05,2,7501471888843,127293
01304_01,40,7501092779278,11129969
00855_01,5,7501842900884,513005
02698_01,3,7501109901616,AC4902
,,,
