STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00613_01,10,7501088605857,15F05BB
01238_01,4,7501043111959,TJ0268
00282_01,2,7502216798120,15C091
02568_01,1,780083141578,15341503
00965_01,10,7501326000888,L040244
00836_01,10,7501124763022,1503181
00861_04,10,7501537102180,5092348
01730_01,1,7501314703227,S5J438
00324_01,1,7501082224214,557229
02427_01,3,7501201401557,F47992
00128_04,3,7501349025073,I15M675
02872_01,4,7501298204970,M54838
00373_06,5,7501573900733,SJ1547
02697_01,1,736085904727,4013853
01510_03,5,7503001007113,C5556
00021_01,5,7501165001800,5MXA009
02608_01,30,7501836009661,16A035
00727_01,2,7501089804310,15050095
00369_01,1,7501573900375,SH1514
02647_01,2,7501573900177,SJ1506
00443_01,5,7501075717174,380205
00045_02,1,7502247372498,L15M1011
00373_06,5,7501573900733,SJ1547
02801_01,5,7502216792197,15F082
