STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01490_05,5,7501537102388,5102563
00675_01,3,7501328979564,5MXA011
00022_14,4,7502211788331,R1508575
01854_01,3,7501842900341,511013
02769_06,13,7502001162976,15112230
01452_06,39,7502009740763,153254
00861_04,5,7502247372238,L15C270
00327_01,29,7501122963028,6A0003
01928_01,1,7502227871799,RVN074
00057_01,10,0785118752521,5C844
02608_01,10,7501836009661,16A035
00893_01,10,7501328979601,4T005
02193_01,1,7501033952784,58219MC
00093_02,6,7501573904151,SK1524
02844_01,21,7501573904212,SK1525
02784_01,2,7501752513204,15028
