STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00252_01,1,7501298205021,M55689
01304_01,8,7501092779278,11174992
02281_01,2,7501098605755,71691
00546_04,2,7501563310399,601370
02885_12,6,7502261160385,50565A
00924_02,10,780083140526,16140718
02608_01,20,7501836009661,6B022
01094_01,5,7501092778226,11168926
00443_04,5,7501573920182,SJ1540
02569_01,10,7502227870150,RRL092
01271_05,4,7501493975002,BF043159
02763_04,3,7501349028647,U15Y065
00061_01,2,736085400984,4013557
00437_06,4,736085053876,4012583
02930_01,4,7501109920655,FGL4301
00437_06,6,7502261160194,50986
