STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01370_01,4,7501088509902,AEJ386
00976_01,5,656599041216,151319
00169_01,20,7502208891891,508074
01238_01,2,7501043111959,UM0257
00292_09,4,7502216802919,158187
02678_01,20,7501842900099,601012
00833_01,2,7502009744570,161116
00292_08,4,7501537102845,5082138
00442_01,10,7501122969808,131417
00067_01,1,7501122961017,135316
02769_06,21,7502001162976,15061213
00754_01,40,7501201490797,89607
02623_07,2,7502216792821,15K239
00700_01,5,780083140595,16140828
00093_02,4,7501573904151,SK1524
02678_01,36,7501842900099,601012
00031_01,5,7501088509810,AFA415
00561_01,1,7501037946246,654994
00292_08,4,7501537102845,5082138
00793_01,3,637420200804,160203
00561_01,2,7501037946246,654994
02663_01,20,7501573900023,SA1651
