STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00815_01,1,7501094910556,T2956
00855_01,1,7501842900884,512005
01897_13,40,7501125167232,U15G018
00884_01,20,7502227872123,RRC049
00584_01,2,7501384503154,3541014
02621_09,10,780083146863,16140402
02731_01,5,7501314702701,S5J449
00329_01,5,7506205804847,ZL5K4U
00252_01,10,7501298205021,M53194
02914_01,10,8430308012658,3K
02808_01,2,7501109763436,15K129
00627_01,1,7501672600343,228
01432_03,1,7502211781479,R1503631
01452_01,3,7503001007250,T6035
