STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01510_03,7,7503001007113,C6111
01499_01,6,7501258203586,152253
00510_01,5,7501390911226,509269
00657_10,20,7501842900983,606008
00377_01,20,7501258205092,160279
00031_01,1,7501088509810,AEL405
00031_01,1,7501088509810,AFA414
02801_01,12,7502216792197,16A025
02587_01,10,7501573900115,SA1603
00657_10,12,7501842900983,606008
00884_01,1,7502227872123,RRC051
02694_06,14,7502227872185,RT032
00775_01,3,7501088505485,AEJ724
02657_03,1,7501088505485,AEJ723
02668_01,1,785118752705,5F1583
02726_08,1,7501125103599,C15S289
