STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02579_01,6,7501165006386,6MXA001
02630_01,6,7501573900405,SH1548
02738_01,2,5034642032575,R747877
02371_01,2,7501043163057,1507600056
02630_01,2,7501573900405,SH1548
01782_02,6,7501098606103,2000357F00
02800_01,1,7501672602972,165
00871_01,2,7501043163057,150700058
00612_01,2,7501088607806,15G28H
00531_01,5,7501122966203,126056
00003_01,1,8400000026,5D072
00165_01,3,7501094911126,K1198
01436_01,2,7501326001977,M004360
00120_01,2,7501043110853,15G003
00165_01,1,7501094911126,K1198
00371_01,1,785118752866,5K25B4
02504_01,1,7501125141379,L15U003
00273_07,9,7501125141379,L15U013
02663_01,2,7501573900023,SK1556
00833_01,4,7502009744570,161116
02608_01,10,7501836009661,16B022
02485_01,5,7501070615277,472MR025
02692_01,30,7502227870532,RVD001
01341_01,20,7501250813530,50905
