STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00884_01,10,7502227872123,RRC053
00093_02,2,7501573904151,SC1619
00294_07,32,7501573905677,SH1627
00659_01,12,7501201448088,F49593
00526_01,4,7501088606304,16A14E
00615_01,5,7501871720507,98233
01335_01,1,7501298216201,18581
02841_01,2,780083139575,16142189
00116_01,1,3499320001328,6021264
02493_01,2,5034642020138,6zp6067
02504_01,4,7501125141379,L169M021
02972_01,2,7502227871683,RP095
00545_01,1,7501573921264,SH1621
01552_01,2,3499320001946,6074203
