STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00280_01,1,7501258200028,160778
02963_01,2,7501070903619,S1604354
01855_02,5,7501258205733,160417
01509_02,2,7502208891907,511775
01509_02,1,7502208891907,511661
00666_01,5,7501088604058,548388F
00899_01,8,7703331157506,54368D
01437_06,4,75049737,16051103
00449_01,4,7501406829002,C776968
01211_01,4,7503007822154,FS60A93
01499_01,2,7501258203586,160682
01795_01,2,7502209290075,1500255
02225_01,20,7501409201096,236404
01855_02,2,7501258205733,160417
02657_04,10,7502009745836,163219
02863_01,4,7501287613516,804BD
00218_01,1,7501825300373,587J
00187_04,4,7501125159350,15Y073
01099_01,2,7501050606585,L047637
00115_01,2,3499320001335,6022217
02815_01,20,7502009742149,155301
02629_01,4,7501075717914,460076
02553_01,9,7501165006171,551174
00327_01,15,7501122963028,162724
02635_01,15,7501287678034,1601301A
02600_01,2,7501075711615,170035
01945_05,6,7502227870129,RLN046
00362_01,6,7501314702640,S6D216
01503_01,3,7501825300120,162J
