STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02965_01,1,301320005011,1601137
02570_13,4,7501349024861,N16U129
00840_01,1,7501836000927,16D126
00238_01,2,7501349020023,B164543
03070_01,10,7502009745577,162813
02491_01,1,7501043160971,R78A
02796_05,12,7502227874202, RRG017
03070_01,6,7502009745577,162813
02780_02,4,7502240450230,160515
02777_01,3,7501644701955,15G609
02692_01,18,7502227870532,RVD010
01094_01,5,7501092778226,11245083
00836_07,10,7501277028924,2353j16
02880_14,10,7501471888621,135374
02564_06,2,7502226292175,416040
