STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02635_01,1,7501287678034,1601301A
02678_13,30,7501672600510,1755
01440_05,7,780083148645,16141878
02863_01,3,7501287613516,804BD
00567_01,5,3499320001168,6079207
00102_01,2,7501088507502,AFE422
02652_01,3,7502003388107,6338
00208_01,20,7501050610674,M038036
02678_13,10,7501672600510,1755
01008_01,2,7501098621175,FP0084
02808_01,2,7501109763436,16D133
00679_01,1,7501108712213,M57677
01440_05,3,780083148645,16141878
00810_01,3,7501871720675,78222
02570_01,1,7502227871508,RNP037
00371_01,8,785118752866,6d473
00965_02,10,7501326000864,M007345
02692_01,30,7502227870532,RVD005
