STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00613_01,16,7501088605857,16F10BF
00996_01,10,7501088617959,248379F
00666_01,9,7501088604058,259186F
00612_01,6,7501088607806,16E10S
02193_01,6,7501033952784,64206MC
02659_01,7,7502227871416,RR053
00282_01,3,7502216798120,15J191
01881_01,1,7502223112223,16AM29
00815_01,20,7501094910556,T3167
02592_01,6,7501043149921,C6006
02735_01,2,7501088506871,15K23
02023_01,2,7501088507755,703
01241_01,11,7501070635756,157
01079_01,8,7501314703111,s68973
02578_01,25,7501871721160,78562
