STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00052_01,8,7501446000553,160391
00093_02,3,7501573904151,sc1619
01452_06,8,7502009740763,161872
00459_04,34,7501825300519,968j
02691_01,10,7502211780045,R16007143
00369_01,10,7501573900375,SD1610
00426_01,2,7501573900122,SD1616
00880_01,1,7501088618109,264765F
00726_01,4,7501089804013,16070002
00269_09,7,7501563370997,605400
02410_01,2,7501384502065,5740415
02193_01,1,7501033952784,66200MC
02410_01,1,7501384502065,5740415
02845_01,16,7502009743856,155000
