STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
03014_01,2,7502005861028,155115
01920_08,5,7503000422283,161523
01920_08,2,7503000422283,161526
00628_11,5,7502216790179,16C150
02557_02,4,7501033953354,59054NR
00348_01,2,7501122900788,W1307
01263_01,2,7501303437003,XB30DWJA
00015_01,3,891671002062,GQE015B
00886_01,8,7501287660312,1504041A
01920_01,10,7502001169289,15122467
00861_03,10,7502223553552,1602026
00337_01,2,7501033920356,58278MC1
00348_01,3,7501122900788,W1307
01820_01,2,7501070903572,S1601061
02575_08,20,7501277096176,0916D16
01370_01,1,7501088509902,AEL316
00628_11,2,7502216790179,16C151
00833_01,4,7502009744570,16116
00496_01,10,7501573900320,SC1630
01436_01,1,7501326001977,M004360
