STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02281_01,3,7501098605755,72534
01505_01,4,7502009740367,160786
00502_01,3,7501298234601,M56130
00810_01,5,7501871720675,77555
00295_01,5,7501620340123,160416B
00610_01,1,7501072340665,5H179NC
01011_01,1,7501109901098,AE3946
02591_02,5,7501092793038,11194306
00002_03,4,7502009744891,152600
00852_03,3,7501573900313,SC1602
02797_06,6,7501537102180,6020453
02504_01,8,7501125141379,L15T035
02587_01,1,7501573900115,SE6101
00996_01,12,7501088617959,244578F
02579_01,15,7501165006386,6MXA001
00002_03,3,7502009744891,150059
01523_01,4,7501752514218,15103
02591_02,2,7501092793038,11194306
00511_01,3,7501752512917,15040
