STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00681_01,3,7501094910464,H0022
00053_01,10,7501752514614,16070
01552_01,1,3499320001946,5074150
00231_05,5,780083144296,16142393
00294_06,8,7502216795044,16a322
00261_01,4,300093116016,141068
01533_01,10,7501168810713,160340
01886_06,13,7501573905417,LD1601
00884_04,10,7501277092314,1794H16
00659_01,7,7501201448088,F49593
02608_01,1,7501836009661,16F093
01377_01,8,7501165001619,6F113A
00615_01,2,7501871720507,98233
01011_01,4,7501109901098,AE9162
00794_01,2,7501082212150,265676
