STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00674_01,1,7501075713770,501586
00804_01,1,7501082212167,652470
00329_01,3,7506205804847,1827
00565_01,6,7501075710786,110206
01024_01,10,7501109901609,AF2840
00565_01,3,7501075710786,110206
02591_02,15,7501092793038,11211456
02603_01,3,7502227872192,RFD063
00679_01,2,7501108712213,M57675
02689_01,4,7501088504532,P1311
02899_01,6,7501108767923,N26756
02797_01,3,7501537102197,6051156
02861_01,8,7501123013302,142685
02861_01,3,7501123013302,134858
00256_01,4,7501871720767,98699
00525_01,5,7501101612282,16B210V1
01881_01,3,7502223112223,15LZ07
