STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02823_01,1,7502216791527,16E76
02557_02,2,7501033953354,60145NR
00111_01,6,7501089804099,16010110
02905_01,3,7501108767893,N04323
00614_01,2,7501089809155,15090092
00614_01,6,7501089809155,16040075
02851_01,2,7501050610704,M020107
01377_01,10,7501165001619,5F101A
02919_01,3,7501165006331,6F2883B
00208_01,7,7501050610674,M019208
00208_01,1,7501050610674,M013200
00041_01,4,7501037908930,A4216U
00625_04,4,7501559619802,BN032A
01893_01,3,721734682019,TH68201
00807_01,2,7501082212181,656168
01034_01,2,7501082212174,655741
