STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01490_05,5,7501537102388,5102563
00085_01,4,7503001007298,C5696
00085_01,1,7503001007298,C5227
02844_01,2,7501573904212, sk1525
00067_01,1,7501122961017,129149
02880_11,1,7501471889680,130090
00861_04,5,7501287660312,1502251A
02587_01,2,7501573900115,SK1502
00515_01,1,7501573900283,SF1549
01928_01,3,7502227871799,RVN074
00093_02,3,7501573904151,SL1403
02762_04,5,7501349024885,N15T063
00330_01,4,7501825300946,626H
02427_01,1,7501201401557,F45301
02427_01,1,7501201401557,F47992
02427_01,2,7501201401557,F47627
02092_01,2,7501573900580,SG1528
01304_01,1,7501092779278,11129972
01304_01,2,7501092779278,11174991
01304_01,2,7501092779278,11129970
