STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00612_01,3,7501088607806,15L09L
00612_01,1,7501088607806,15J06P
01490_05,5,7501537102388,5112897
02845_01,3,7502009743856,160950
02682_01,2,7502216792289,16C022
00789_01,5,7501130713158,4601101
02582_01,3,7502003380149,6082
00836_04,1,7841141003436,60126
00836_04,1,7841141003436,60120
02784_01,2,7501752513204,15136
02968_01,2,7501088504419,CH218
02880_12,1,7503004908660,1508032
01335_01,1,7501298216201,18188
01490_05,2,7501537102388,5112897
01716_01,6,8020030053090,14455
00528_01,1,4046222418601,477214
00292_01,3,7501573934172,SL1505
00165_01,2,7501094911126,K1198
