STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02963_01,4,7501070903619,S1512949
01075_01,8,7501092773511,11162040
02281_01,2,7501098605755,71691
02570_09,5,7501384504892,9880615
02847_01,10,7502211783787,R1502411
02621_09,5,780083146863,16140402
02736_01,3,7501088507472,15I04
01440_01,20,7501050631075,4LBTB059
02608_01,3,7501836009661,16A039
02281_01,1,7501098605755,71691
00694_01,1,7501300408204,508460
02671_01,2,8430308010258,514311
00614_01,2,7501089809155,15090092
01897_13,20,7501125167232,U15G018
