STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02844_01,10,7501573904212,SA1625
00371_01,12,785118752866,6A165
00798_01,1,7501109904457,AE2136
02597_03,2,75051549,15042112
02797_06,8,7501537102180,6020453
02663_01,10,7501573900023,5A1651
00810_01,20,7501871720675,77555
00067_01,2,7501122961017,138446
01897_11,2,7503004908776,1604110
01897_11,18,7503004908776,1508136
00842_01,2,7501108762942,100050
00093_02,10,7501573904151,SA1624
00674_06,4,7501075718911,500616
00836_04,2,7841141003436,60129
01135_01,1,7501298216409,18328
00426_01,1,7501573900122,SA1550
