STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
02800_01,5,7501672602972,150
02663_01,1,7501573900023,SE1450
02663_01,1,7501573900023,SK1556
02582_01,10,7502003380149,5711
02847_01,8,7502211783787,R1502411
00896_01,4,7501672690542,4111831
01341_01,3,7501250813530,50777
00896_01,4,7501672690542,4111831
02582_01,10,7502003380149,5711
00515_01,10,7501573900283,SH1524
02621_02,1,7502213041090,SH243
01928_01,2,7502227871799,RVN074
00778_06,6,7501349024991,N15G104
02711_01,10,7501298213569,M54850
02689_01,8,7501088504532,P1131
01506_01,2,780083140595,15142669
01506_01,10,7502211784241,R1511033
01509_01,1,7503001007090,S5675
01774_01,3,7501046427576,1521600024
02691_01,10,7502211780045,R1510964
00833_01,5,7502009744570,152732
00712_04,8,7501537102357,5092233
00449_01,3,7501406829002,C734643
01555_01,7,300090050139,002BB
