STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01075_01,1,7501092773511,11199833
00369_01,8,7501573900375,SC1608
02604_11,10,7501349021440,16F237
02570_01,20,7502227871508,RNP037
01450_05,15,7501573900337,SC1622
00177_01,10,7501573921479,SB1629
02485_01,15,7501070615277,472AS041
02485_01,1,7501070615277,472AS042
02572_02,10,7502216796126,16A199
01241_01,9,7501070635756,159
02801_01,30,7502216792197,16A027
01341_01,9,7501250813530,60123
03009_01,5,7501092774730,301423
00276_01,6,7501050611404,1505904
01262_01,6,7501314705542,S41978
00093_02,6,7501573904151,SC1619
02768_01,6,75017125,1510854
02773_01,5,7501075713718,440046
02697_01,5,736085904727,4014708
00531_01,6,7501122966203,126870
00531_01,1,7501122966203,131651
