STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01499_01,3,7501258203586,160031
01053_01,5,8430308015901,41K
02627_03,10,7501075718881,670086
02698_01,2,7501109901616,AC4903
00966_01,4,7501082212198,559957
00610_01,6,7501072340665,SH179NC
02680_01,3,7502227870228,RFS079
00057_01,6,785118752521,SF1670
00280_01,3,7501258200028,160198
01431_03,2,7502009740664,161166
00227_01,1,7501122960317,136179
01011_01,2,7501109901098,AE3946
01180_01,2,7501082212228,C383399A
01241_01,10,7501070635756,156
01241_01,5,7501070635756,1510
